__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1670930494.138024,-0.903466,852111.000000,1670930494.078123,,,,
1670930494.139798,-0.939644,852161.000000,1670930494.128123,,,,
1670930494.139806,-0.975822,852162.000000,1670930494.129123,,,,
1670930494.139815,-0.993911,852163.000000,1670930494.130123,,,,
1670930494.139822,-0.975822,852164.000000,1670930494.131123,,,,
1670930494.139829,-0.957733,852165.000000,1670930494.132123,,,,
1670930494.139840,-1.012008,852166.000000,1670930494.133123,,,,
1670930494.139864,-1.012008,852167.000000,1670930494.134123,,,,
1670930494.139870,-0.993911,852168.000000,1670930494.135123,,,,
1670930494.139879,-1.048186,852169.000000,1670930494.136123,,,,
1670930494.139900,-1.030097,852170.000000,1670930494.137123,,,,
1670930494.142341,,,,-12.922084,-12.926519,1066670.000000,1670929982.133319
1670930494.142357,,,,-12.918839,-12.925438,1066671.000000,1670929982.134326
1670930494.142629,,,,-12.915064,-12.920533,1066672.000000,1670929982.135333
1670930494.143474,,,,-12.923286,-12.924668,1066673.000000,1670929982.136340
1670930494.143484,,,,-12.932446,-12.935751,1066674.000000,1670929982.137347
1670930494.143624,,,,-12.940210,-12.943131,1066675.000000,1670929982.138354
1670930494.143784,,,,-12.946677,-12.951257,1066676.000000,1670929982.139361
1670930494.143798,,,,-12.953794,-12.957556,1066677.000000,1670929982.140368
1670930494.143809,,,,-12.958217,-12.961546,1066678.000000,1670929982.141376
1670930494.143815,,,,-12.956991,-12.963446,1066679.000000,1670929982.142383
1670930494.144085,,,,-12.953841,-12.962388,1066680.000000,1670929982.143390
1670930494.144216,,,,-12.950885,-12.956762,1066681.000000,1670929982.144397
1670930494.144294,,,,-12.941917,-12.947988,1066682.000000,1670929982.145404
1670930494.144475,,,,-12.934586,-12.938684,1066683.000000,1670929982.146411
1670930494.144486,,,,-12.921964,-12.924284,1066684.000000,1670929982.147418
1670930494.144826,,,,-12.905832,-12.908753,1066685.000000,1670929982.148425
1670930494.144895,,,,-12.908092,-12.912696,1066686.000000,1670929982.149432
1670930494.144995,,,,-12.921267,-12.925317,1066687.000000,1670929982.150439
1670930494.145084,,,,-12.918358,-12.920774,1066688.000000,1670929982.151446
1670930494.145093,,,,-12.909776,-12.916951,1066689.000000,1670929982.152453
1670930494.145117,,,,-12.913502,-12.918899,1066690.000000,1670929982.153461
1670930494.145395,,,,-12.922685,-12.925365,1066691.000000,1670929982.154468
1670930494.145607,,,,-12.930354,-12.934020,1066692.000000,1670929982.155475
1670930494.145777,,,,-12.930185,-12.936376,1066693.000000,1670929982.156482
1670930494.145923,,,,-12.935018,-12.941617,1066694.000000,1670929982.157489
1670930494.146147,,,,-12.949658,-12.953901,1066695.000000,1670929982.158496
1670930494.146494,,,,-12.942134,-12.944766,1066696.000000,1670929982.159503
1670930494.146513,,,,-12.936941,-12.940944,1066697.000000,1670929982.160510
1670930494.146599,,,,-12.940667,-12.945030,1066698.000000,1670929982.161517
1670930494.147584,,,,-12.944682,-12.951281,1066699.000000,1670929982.162524
1670930494.148015,,,,-12.947038,-12.955104,1066700.000000,1670929982.163531
1670930494.148025,,,,-12.941317,-12.946304,1066701.000000,1670929982.164538
1670930494.148054,,,,-12.924488,-12.929428,1066702.000000,1670929982.165545
1670930494.148061,,,,-12.922276,-12.927264,1066703.000000,1670929982.166553
1670930494.148118,,,,-12.924656,-12.929668,1066704.000000,1670929982.167560
1670930494.148182,,,,-12.925258,-12.930078,1066705.000000,1670929982.168567
1670930494.148190,,,,-12.923238,-12.927457,1066706.000000,1670929982.169574
1670930494.150176,,,,-12.919680,-12.925726,1066707.000000,1670929982.170581
1670930494.150323,,,,-12.917276,-12.922120,1066708.000000,1670929982.171588
1670930494.150677,,,,-12.916170,-12.921855,1066709.000000,1670929982.172595
1670930494.150685,,,,-12.921723,-12.929861,1066710.000000,1670929982.173602
1670930494.150844,,,,-12.917901,-12.924043,1066711.000000,1670929982.174609
1670930494.151006,,,,-12.918141,-12.923827,1066712.000000,1670929982.175616
1670930494.151154,,,,-12.921916,-12.925125,1066713.000000,1670929982.176623
1670930494.151270,,,,-12.926051,-12.928178,1066714.000000,1670929982.177630
1670930494.151469,,,,-12.930210,-12.936376,1066715.000000,1670929982.178638
1670930494.151612,,,,-12.937061,-12.943035,1066716.000000,1670929982.179645
1670930494.155542,,,,-12.941388,-12.946521,1066717.000000,1670929982.180652
