__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1673611124.709658,,,,21.373459,21.381124,4961620.000000,1673607028.807128
1673611124.710062,,,,21.366152,21.375788,4961621.000000,1673607028.808135
1673611124.710223,,,,21.354755,21.367470,4961622.000000,1673607028.809142
1673611124.710595,,,,21.353481,21.363865,4961623.000000,1673607028.810149
1673611124.710661,,,,21.356848,21.367950,4961624.000000,1673607028.811156
1673611124.710989,,,,21.366222,21.374826,4961625.000000,1673607028.812163
1673611124.711047,,,,21.372089,21.381918,4961626.000000,1673607028.813170
1673611124.716991,,,,21.380383,21.387737,4961627.000000,1673607028.814178
1673611124.717174,,,,21.386009,21.393578,4961628.000000,1673607028.815185
1673611124.717432,,,,21.389254,21.398746,4961629.000000,1673607028.816192
1673611124.717448,,,,21.395794,21.405983,4961630.000000,1673607028.817199
1673611124.722099,0.683399,4097423.000000,1673611124.712123,,,,
1673611124.722107,0.701488,4097424.000000,1673611124.713123,,,,
1673611124.722111,0.719577,4097425.000000,1673611124.714123,,,,
1673611124.722116,0.791941,4097426.000000,1673611124.715122,,,,
1673611124.722122,0.737674,4097427.000000,1673611124.716123,,,,
1673611124.722127,0.737674,4097428.000000,1673611124.717123,,,,
1673611124.722139,0.773852,4097429.000000,1673611124.718122,,,,
1673611124.722200,0.755763,4097430.000000,1673611124.719123,,,,
1673611124.722207,0.755763,4097431.000000,1673611124.720123,,,,
1673611124.723140,,,,21.400818,21.408316,4961631.000000,1673607028.818206
1673611124.723401,,,,21.403246,21.410143,4961632.000000,1673607028.819213
1673611124.723417,,,,21.398510,21.406921,4961633.000000,1673607028.820220
1673611124.725406,,,,21.394302,21.402929,4961634.000000,1673607028.821227
1673611124.725677,,,,21.390793,21.399084,4961635.000000,1673607028.822234
1673611124.725687,,,,21.380720,21.386173,4961636.000000,1673607028.823241
1673611124.730935,,,,21.368507,21.374706,4961637.000000,1673607028.824248
1673611124.731112,,,,21.364252,21.371342,4961638.000000,1673607028.825255
1673611124.731174,,,,21.364347,21.370979,4961639.000000,1673607028.826262
1673611124.731351,,,,21.361176,21.370739,4961640.000000,1673607028.827270
1673611124.731481,,,,21.354467,21.363432,4961641.000000,1673607028.828277
1673611124.731658,,,,21.348625,21.358263,4961642.000000,1673607028.829284
1673611124.731816,,,,21.357351,21.366053,4961643.000000,1673607028.830291
