__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1673611699.432204,,,,-1.883554,-1.881874,5527998.000000,1673607091.589019
1673611699.432355,,,,-1.884588,-1.884110,5527999.000000,1673607091.590026
1673611699.432549,,,,-1.883747,-1.883894,5528000.000000,1673607091.591033
1673611699.432702,,,,-1.887160,-1.887668,5528001.000000,1673607091.592040
1673611699.439911,,,,-1.890839,-1.892596,5528002.000000,1673607091.593047
1673611699.440306,,,,-1.894733,-1.896611,5528003.000000,1673607091.594054
1673611699.440710,,,,-1.899589,-1.902140,5528004.000000,1673607091.595061
1673611699.440730,,,,-1.900262,-1.903126,5528005.000000,1673607091.596068
1673611699.442647,0.339690,4457567.000000,1673611699.431731,,,,
1673611699.442654,0.412046,4457568.000000,1673611699.432731,,,,
1673611699.442672,0.375868,4457569.000000,1673611699.433731,,,,
1673611699.442681,0.357779,4457570.000000,1673611699.434731,,,,
1673611699.442710,0.339690,4457571.000000,1673611699.435731,,,,
1673611699.442746,0.339690,4457572.000000,1673611699.436731,,,,
1673611699.442759,0.339690,4457573.000000,1673611699.437731,,,,
1673611699.442773,0.321601,4457574.000000,1673611699.438731,,,,
1673611699.442782,0.412046,4457575.000000,1673611699.439731,,,,
1673611699.446197,,,,-1.897329,-1.898991,5528006.000000,1673607091.597075
1673611699.446551,,,,-1.892425,-1.891154,5528007.000000,1673607091.598083
1673611699.446612,,,,-1.878001,-1.878629,5528008.000000,1673607091.599090
1673611699.448391,,,,-1.866534,-1.867474,5528009.000000,1673607091.600097
1673611699.448676,,,,-1.861629,-1.862209,5528010.000000,1673607091.601104
1673611699.449019,,,,-1.859105,-1.861800,5528011.000000,1673607091.602111
1673611699.449160,,,,-1.856701,-1.858459,5528012.000000,1673607091.603118
1673611699.453884,,,,-1.863600,-1.864253,5528013.000000,1673607091.604125
1673611699.454165,,,,-1.866245,-1.865767,5528014.000000,1673607091.605132
1673611699.454328,,,,-1.863168,-1.862257,5528015.000000,1673607091.606139
1673611699.454686,,,,-1.862014,-1.859949,5528016.000000,1673607091.607146
1673611699.454707,,,,-1.861797,-1.861800,5528017.000000,1673607091.608153
1673611699.454868,,,,-1.868889,-1.869205,5528018.000000,1673607091.609160
1673611699.457069,,,,-1.878410,-1.879374,5528019.000000,1673607091.610168
1673611699.457100,,,,-1.894493,-1.896251,5528020.000000,1673607091.611175
1673611699.457110,,,,-1.906970,-1.909882,5528021.000000,1673607091.612182
1673611699.457161,,,,-1.904157,-1.906131,5528022.000000,1673607091.613189
1673611699.457317,,,,-1.899397,-1.900770,5528023.000000,1673607091.614196
1673611699.457330,,,,-1.898267,-1.899256,5528024.000000,1673607091.615203
1673611699.457448,,,,-1.903484,-1.905194,5528025.000000,1673607091.616210
1673611699.457461,,,,-1.910119,-1.909521,5528026.000000,1673607091.617217
1673611699.461863,,,,-1.900503,-1.898342,5528027.000000,1673607091.618224
1673611699.462148,,,,-1.882881,-1.882620,5528028.000000,1673607091.619231
1673611699.462157,,,,-1.868841,-1.869421,5528029.000000,1673607091.620238
1673611699.462446,,,,-1.879179,-1.880576,5528030.000000,1673607091.621245
1673611699.462714,,,,-1.877424,-1.878605,5528031.000000,1673607091.622252
1673611699.463075,,,,-1.866389,-1.865431,5528032.000000,1673607091.623260
1673611699.463087,,,,-1.854561,-1.853434,5528033.000000,1673607091.624267
1673611699.463957,,,,-1.845955,-1.847929,5528034.000000,1673607091.625274
1673611699.464434,,,,-1.844128,-1.845453,5528035.000000,1673607091.626281
1673611699.464456,,,,-1.846171,-1.845405,5528036.000000,1673607091.627288
1673611699.465335,,,,-1.848359,-1.849251,5528037.000000,1673607091.628295
1673611699.465350,,,,-1.872351,-1.876249,5528038.000000,1673607091.629302
1673611699.465484,,,,-1.903652,-1.905939,5528039.000000,1673607091.630309
1673611699.465501,,,,-1.916947,-1.917094,5528040.000000,1673607091.631316
1673611699.465509,,,,-1.923726,-1.923176,5528041.000000,1673607091.632323
1673611699.465516,,,,-1.917139,-1.915844,5528042.000000,1673607091.633330
1673611699.465521,,,,-1.912860,-1.913512,5528043.000000,1673607091.634337
1673611699.468866,,,,-1.909326,-1.912983,5528044.000000,1673607091.635345
1673611699.469012,,,,-1.911850,-1.913944,5528045.000000,1673607091.636352
1673611699.469427,,,,-1.906946,-1.909401,5528046.000000,1673607091.637359
1673611699.469605,,,,-1.897834,-1.898174,5528047.000000,1673607091.638366
1673611699.469682,,,,-1.889300,-1.891058,5528048.000000,1673607091.639373
1673611699.469904,,,,-1.882424,-1.884423,5528049.000000,1673607091.640380
1673611699.469923,,,,-1.875308,-1.878941,5528050.000000,1673607091.641387
1673611699.469964,,,,-1.875044,-1.876393,5528051.000000,1673607091.642394
1673611699.471325,,,,-1.875573,-1.876057,5528052.000000,1673607091.643401
1673611699.471441,,,,-1.874948,-1.879326,5528053.000000,1673607091.644408
1673611699.472057,,,,-1.877664,-1.879350,5528054.000000,1673607091.645415
1673611699.472109,,,,-1.877977,-1.876609,5528055.000000,1673607091.646422
1673611699.472250,,,,-1.883049,-1.882451,5528056.000000,1673607091.647429
1673611699.472261,,,,-1.884516,-1.885168,5528057.000000,1673607091.648437
1673611699.472356,,,,-1.890983,-1.891130,5528058.000000,1673607091.649444
1673611699.492733,,,,-1.892473,-1.893270,5528059.000000,1673607091.650451
1673611699.492747,,,,-1.894396,-1.893053,5528060.000000,1673607091.651458
1673611699.493044,,,,-1.895526,-1.895770,5528061.000000,1673607091.652465
1673611699.493286,,,,-1.892065,-1.895625,5528062.000000,1673607091.653472
1673611699.494071,,,,-1.883097,-1.884423,5528063.000000,1673607091.654479
1673611699.494356,,,,-1.872760,-1.875095,5528064.000000,1673607091.655486
1673611699.494373,,,,-1.875044,-1.878893,5528065.000000,1673607091.656493
1673611699.500153,,,,-1.896151,-1.895337,5528066.000000,1673607091.657500
