__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1673606320.516601,,,,-0.506392,-0.507116,373041.000000,1673606320.491414
1673606320.517269,,,,-0.506392,-0.506948,373042.000000,1673606320.492421
1673606320.517951,,,,-0.507425,-0.507188,373043.000000,1673606320.493428
1673606320.523007,,,,-0.508700,-0.506948,373044.000000,1673606320.494436
1673606320.523312,,,,-0.510647,-0.510602,373045.000000,1673606320.495443
1673606320.523474,,,,-0.510599,-0.508102,373046.000000,1673606320.496450
1673606320.525579,-0.492456,917188.000000,1673606320.515738,,,,
1673606320.525592,-0.492456,917189.000000,1673606320.516737,,,,
1673606320.525600,-0.456278,917190.000000,1673606320.517737,,,,
1673606320.525610,-0.474367,917191.000000,1673606320.518737,,,,
1673606320.525615,-0.438189,917192.000000,1673606320.519737,,,,
1673606320.525621,-0.474367,917193.000000,1673606320.520737,,,,
1673606320.525635,-0.456278,917194.000000,1673606320.521737,,,,
1673606320.525660,-0.492456,917195.000000,1673606320.522738,,,,
1673606320.525669,-0.438189,917196.000000,1673606320.523737,,,,
1673606320.529630,,,,-0.507281,-0.507116,373047.000000,1673606320.497457
1673606320.529648,,,,-0.506392,-0.506827,373048.000000,1673606320.498464
1673606320.529908,,,,-0.507954,-0.510217,373049.000000,1673606320.499471
1673606320.531958,,,,-0.508315,-0.509640,373050.000000,1673606320.500478
1673606320.532049,,,,-0.509156,-0.509856,373051.000000,1673606320.501485
1673606320.532251,,,,-0.511200,-0.511948,373052.000000,1673606320.502492
1673606320.532571,,,,-0.516224,-0.516155,373053.000000,1673606320.503499
1673606320.532644,,,,-0.518340,-0.519064,373054.000000,1673606320.504506
1673606320.536734,,,,-0.515647,-0.515121,373055.000000,1673606320.505513
1673606320.537055,,,,-0.513772,-0.513919,373056.000000,1673606320.506521
1673606320.539407,,,,-0.518172,-0.521949,373057.000000,1673606320.507528
1673606320.539419,,,,-0.525792,-0.528584,373058.000000,1673606320.508535
1673606320.539588,,,,-0.530961,-0.531108,373059.000000,1673606320.509542
1673606320.539679,,,,-0.527403,-0.528392,373060.000000,1673606320.510549
1673606320.544892,,,,-0.516873,-0.516275,373061.000000,1673606320.511556
1673606320.545322,,,,-0.510118,-0.507861,373062.000000,1673606320.512563
1673606320.545334,,,,-0.504252,-0.504640,373063.000000,1673606320.513570
1673606320.545383,,,,-0.504661,-0.502260,373064.000000,1673606320.514577
1673606320.545411,,,,-0.508844,-0.506467,373065.000000,1673606320.515584
1673606320.545447,,,,-0.513724,-0.513030,373066.000000,1673606320.516591
1673606320.545454,,,,-0.519229,-0.519978,373067.000000,1673606320.517598
1673606320.545457,,,,-0.521585,-0.521180,373068.000000,1673606320.518605
1673606320.545486,,,,-0.519350,-0.519208,373069.000000,1673606320.519613
1673606320.545492,,,,-0.521802,-0.520170,373070.000000,1673606320.520620
1673606320.545496,,,,-0.525552,-0.526372,373071.000000,1673606320.521627
1673606320.547204,,,,-0.528100,-0.527695,373072.000000,1673606320.522634
1673606320.547220,,,,-0.528725,-0.527574,373073.000000,1673606320.523641
1673606320.547227,,,,-0.531033,-0.527166,373074.000000,1673606320.524648
