__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1670926173.046804,,,,7.321878,7.325689,447543.000000,1670926173.088797
1670926173.048741,,,,7.320821,7.325617,447544.000000,1670926173.089804
1670926173.049190,,,,7.318489,7.322948,447545.000000,1670926173.090811
1670926173.049207,,,,7.322263,7.325906,447546.000000,1670926173.091819
1670926173.049214,,,,7.325989,7.326699,447547.000000,1670926173.092826
1670926173.054489,,,,7.323754,7.323934,447548.000000,1670926173.093833
1670926173.054677,,,,7.323634,7.326507,447549.000000,1670926173.094840
1670926173.054700,,,,7.326037,7.326530,447550.000000,1670926173.095847
1670926173.054712,,,,7.331855,7.331964,447551.000000,1670926173.096854
1670926173.056375,,,,7.328947,7.331411,447552.000000,1670926173.097861
1670926173.056756,,,,7.331110,7.332805,447553.000000,1670926173.098868
1670926173.056773,,,,7.330269,7.332565,447554.000000,1670926173.099875
1670926173.070996,,,,7.327168,7.331099,447555.000000,1670926173.100882
1670926173.071122,,,,7.325749,7.329175,447556.000000,1670926173.101889
1670926173.071138,,,,7.321301,7.325593,447557.000000,1670926173.102896
1670926173.078333,,,,7.321422,7.324896,447558.000000,1670926173.103904
1670926173.078560,,,,7.318176,7.319102,447559.000000,1670926173.104911
1670926173.078807,,,,7.317407,7.316843,447560.000000,1670926173.105918
1670926173.079211,,,,7.317527,7.318044,447561.000000,1670926173.106925
1670926173.079665,,,,7.317191,7.318814,447562.000000,1670926173.107932
1670926173.079678,,,,7.319859,7.323117,447563.000000,1670926173.108939
1670926173.079694,,,,7.320821,7.323766,447564.000000,1670926173.109946
1670926173.082110,-0.869183,952262.000000,1670926173.068865,,,,
1670926173.082129,-0.833005,952263.000000,1670926173.069865,,,,
1670926173.082135,-0.814908,952264.000000,1670926173.070865,,,,
1670926173.082140,-0.869183,952265.000000,1670926173.071865,,,,
1670926173.082167,-0.833005,952266.000000,1670926173.072865,,,,
1670926173.082170,-0.887272,952267.000000,1670926173.073865,,,,
1670926173.082197,-0.851094,952268.000000,1670926173.074865,,,,
1670926173.082203,-0.833005,952269.000000,1670926173.075865,,,,
1670926173.082237,-0.869183,952270.000000,1670926173.076865,,,,
1670926173.082243,-0.869183,952271.000000,1670926173.077865,,,,
1670926173.083905,,,,7.315845,7.322011,447565.000000,1670926173.110953
1670926173.084161,,,,7.316782,7.320425,447566.000000,1670926173.111960
1670926173.084365,,,,7.322263,7.326338,447567.000000,1670926173.112967
1670926173.084471,,,,7.326591,7.328574,447568.000000,1670926173.113974
1670926173.091824,,,,7.328105,7.328671,447569.000000,1670926173.114981
1670926173.091915,,,,7.327816,7.329536,447570.000000,1670926173.115988
1670926173.091928,,,,7.327985,7.330497,447571.000000,1670926173.116996
1670926173.091941,,,,7.328345,7.329151,447572.000000,1670926173.118003
1670926173.094047,,,,7.330629,7.331194,447573.000000,1670926173.119010
1670926173.094063,,,,7.331495,7.334344,447574.000000,1670926173.120017
1670926173.094075,,,,7.329379,7.330858,447575.000000,1670926173.121024
1670926173.094346,,,,7.325148,7.328189,447576.000000,1670926173.122031
1670926173.099056,,,,7.323609,7.328791,447577.000000,1670926173.123038
1670926173.099076,,,,7.322960,7.328069,447578.000000,1670926173.124045
1670926173.099133,,,,7.322937,7.326386,447579.000000,1670926173.125052
1670926173.106872,,,,7.320773,7.321963,447580.000000,1670926173.126059
1670926173.107255,,,,7.320172,7.321506,447581.000000,1670926173.127066
1670926173.107273,,,,7.316494,7.320184,447582.000000,1670926173.128073
1670926173.107284,,,,7.321301,7.321530,447583.000000,1670926173.129081
1670926173.107431,,,,7.322191,7.319799,447584.000000,1670926173.130088
1670926173.107673,,,,7.315340,7.319294,447585.000000,1670926173.131095
1670926173.107871,,,,7.319979,7.324896,447586.000000,1670926173.132102
1670926173.109186,,,,7.327168,7.330954,447587.000000,1670926173.133109
1670926173.109329,,,,7.329187,7.331074,447588.000000,1670926173.134116
1670926173.109482,,,,7.328514,7.330473,447589.000000,1670926173.135123
1670926173.109754,,,,7.325292,7.327589,447590.000000,1670926173.136130
1670926173.109897,,,,7.327624,7.331459,447591.000000,1670926173.137137
1670926173.110223,,,,7.327720,7.331676,447592.000000,1670926173.138144
1670926173.110350,,,,7.330437,7.330858,447593.000000,1670926173.139151
1670926173.110360,,,,7.330149,7.331699,447594.000000,1670926173.140158
1670926173.115338,,,,7.328995,7.332685,447595.000000,1670926173.141165
1670926173.115570,,,,7.327744,7.332589,447596.000000,1670926173.142173
1670926173.115811,,,,7.327961,7.329391,447597.000000,1670926173.143180
1670926173.116081,,,,7.329331,7.328382,447598.000000,1670926173.144187
1670926173.116165,,,,7.324811,7.324992,447599.000000,1670926173.145194
1670926173.116463,,,,7.323273,7.328502,447600.000000,1670926173.146201
1670926173.116784,,,,7.323754,7.327973,447601.000000,1670926173.147208
1670926173.117115,,,,7.319931,7.323982,447602.000000,1670926173.148215
1670926173.117912,,,,7.319354,7.323574,447603.000000,1670926173.149222
1670926173.117924,,,,7.323345,7.325545,447604.000000,1670926173.150229
1670926173.118145,,,,7.323994,7.328094,447605.000000,1670926173.151236
1670926173.118415,,,,7.326519,7.328189,447606.000000,1670926173.152243
1670926173.118445,,,,7.322816,7.326867,447607.000000,1670926173.153250
1670926173.118456,,,,7.326254,7.328598,447608.000000,1670926173.154258
1670926173.118691,,,,7.323537,7.324824,447609.000000,1670926173.155265
1670926173.118909,,,,7.326182,7.329151,447610.000000,1670926173.156272
1670926173.119202,,,,7.329235,7.334272,447611.000000,1670926173.157279
1670926173.119508,,,,7.332697,7.337084,447612.000000,1670926173.158286
1670926173.119952,,,,7.331759,7.337974,447613.000000,1670926173.159293
1670926173.119972,,,,7.328393,7.332156,447614.000000,1670926173.160300
1670926173.133368,,,,7.327720,7.331483,447615.000000,1670926173.161307
1670926173.133764,,,,7.331759,7.334993,447616.000000,1670926173.162314
1670926173.133775,,,,7.329596,7.331555,447617.000000,1670926173.163321
1670926173.133862,,,,7.324715,7.325545,447618.000000,1670926173.164328
1670926173.139412,,,,7.322239,7.324776,447619.000000,1670926173.165335
1670926173.139556,,,,7.322672,7.326290,447620.000000,1670926173.166342
1670926173.139963,,,,7.320821,7.322612,447621.000000,1670926173.167350
1670926173.145300,,,,7.321783,7.325136,447622.000000,1670926173.168357
1670926173.145820,,,,7.321301,7.324391,447623.000000,1670926173.169364
1670926173.146645,-0.869183,952272.000000,1670926173.084717,,,,
1670926173.146717,,,,7.320893,7.325473,447624.000000,1670926173.170371
1670926173.146726,,,,7.319715,7.324992,447625.000000,1670926173.171378
1670926173.147356,-0.905361,952273.000000,1670926173.085717,,,,
