__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1673608516.685315,,,,9.193462,9.197498,2474886.000000,1673606980.744658
1673608516.685378,,,,9.203440,9.204999,2474887.000000,1673606980.745666
1673608516.685385,,,,9.197044,9.197691,2474888.000000,1673606980.746673
1673608516.691003,,,,9.186322,9.190527,2474889.000000,1673606980.747680
1673608516.691168,,,,9.179014,9.184228,2474890.000000,1673606980.748687
1673608516.691194,,,,9.164758,9.170044,2474891.000000,1673606980.749694
1673608516.691394,,,,9.158820,9.163746,2474892.000000,1673606980.750701
1673608516.692719,1.425100,2308567.000000,1673608516.651992,,,,
1673608516.692734,1.425100,2308568.000000,1673608516.652992,,,,
1673608516.692740,1.370824,2308569.000000,1673608516.653992,,,,
1673608516.692745,1.388913,2308570.000000,1673608516.654992,,,,
1673608516.692829,1.425100,2308571.000000,1673608516.655992,,,,
1673608516.692842,1.461278,2308572.000000,1673608516.656992,,,,
1673608516.692851,1.443189,2308573.000000,1673608516.657992,,,,
1673608516.692859,1.425100,2308574.000000,1673608516.658992,,,,
1673608516.692865,1.407002,2308575.000000,1673608516.659992,,,,
1673608516.692891,1.388913,2308597.000000,1673608516.681992,,,,
1673608516.692913,1.443189,2308598.000000,1673608516.682992,,,,
1673608516.692919,1.425100,2308599.000000,1673608516.683992,,,,
1673608516.692924,1.407002,2308600.000000,1673608516.684992,,,,
1673608516.692933,1.425100,2308601.000000,1673608516.685992,,,,
1673608516.692937,1.388913,2308602.000000,1673608516.686992,,,,
1673608516.692941,1.388913,2308603.000000,1673608516.687992,,,,
1673608516.692953,1.352735,2308604.000000,1673608516.688992,,,,
1673608516.692993,1.388913,2308605.000000,1673608516.689992,,,,
1673608516.693002,1.370824,2308606.000000,1673608516.690992,,,,
1673608516.697343,,,,9.153171,9.153745,2474893.000000,1673606980.751708
1673608516.697527,,,,9.145309,9.148528,2474894.000000,1673606980.752715
1673608516.697534,,,,9.137665,9.144056,2474895.000000,1673606980.753722
1673608516.699575,,,,9.130861,9.134561,2474896.000000,1673606980.754729
1673608516.699758,,,,9.130836,9.133647,2474897.000000,1673606980.755736
1673608516.700004,,,,9.137424,9.140354,2474898.000000,1673606980.756743
1673608516.704886,,,,9.149733,9.152374,2474899.000000,1673606980.757751
1673608516.705280,,,,9.157763,9.162616,2474900.000000,1673606980.758758
1673608516.705353,,,,9.166345,9.171391,2474901.000000,1673606980.759765
1673608516.705573,,,,9.189880,9.191969,2474902.000000,1673606980.760772
1673608516.705812,,,,9.202430,9.205168,2474903.000000,1673606980.761779
1673608516.707161,,,,9.207382,9.209110,2474904.000000,1673606980.762786
1673608516.707529,,,,9.194088,9.197378,2474905.000000,1673606980.763793
1673608516.712501,,,,9.179543,9.184468,2474906.000000,1673606980.764800
1673608516.713342,,,,9.175817,9.177761,2474907.000000,1673606980.765807
1673608516.713528,,,,9.171681,9.173698,2474908.000000,1673606980.766814
1673608516.713608,,,,9.165984,9.170188,2474909.000000,1673606980.767821
1673608516.715050,,,,9.157137,9.159995,2474910.000000,1673606980.768828
1673608516.715790,,,,9.148915,9.152591,2474911.000000,1673606980.769835
1673608516.716162,,,,9.144588,9.150740,2474912.000000,1673606980.770843
1673608516.716478,,,,9.140453,9.144224,2474913.000000,1673606980.771850
1673608516.716679,,,,9.137856,9.140065,2474914.000000,1673606980.772857
1673608516.716855,,,,9.136511,9.140762,2474915.000000,1673606980.773864
1673608516.716953,,,,9.131198,9.136556,2474916.000000,1673606980.774871
1673608516.716965,,,,9.131943,9.136483,2474917.000000,1673606980.775878
1673608516.719714,,,,9.141751,9.146532,2474918.000000,1673606980.776885
1673608516.720049,,,,9.157402,9.161678,2474919.000000,1673606980.777892
1673608516.720057,,,,9.167282,9.172015,2474920.000000,1673606980.778899
1673608516.722122,,,,9.178269,9.180910,2474921.000000,1673606980.779906
1673608516.722412,,,,9.182693,9.184829,2474922.000000,1673606980.780913
1673608516.722612,,,,9.188679,9.192883,2474923.000000,1673606980.781920
1673608516.727495,,,,9.195242,9.198099,2474924.000000,1673606980.782928
1673608516.727929,,,,9.193102,9.193580,2474925.000000,1673606980.783935
1673608516.728261,,,,9.184327,9.186416,2474926.000000,1673606980.784942
1673608516.728637,,,,9.194545,9.199975,2474927.000000,1673606980.785949
1673608516.728646,,,,9.188559,9.195263,2474928.000000,1673606980.786956
1673608516.735007,,,,9.173077,9.179949,2474929.000000,1673606980.787963
1673608516.735018,,,,9.155646,9.161438,2474930.000000,1673606980.788970
1673608516.735139,,,,9.136919,9.140931,2474931.000000,1673606980.789977
1673608516.737322,,,,9.109777,9.114270,2474932.000000,1673606980.790984
1673608516.737334,,,,9.094055,9.097802,2474933.000000,1673606980.791991
1673608516.737454,,,,9.088285,9.091432,2474934.000000,1673606980.792998
1673608516.737715,,,,9.094103,9.096168,2474935.000000,1673606980.794005
