__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1673607769.721384,4.391878,1805590.000000,1673607769.710087,,,,
1673607769.721395,4.391878,1805591.000000,1673607769.711087,,,,
1673607769.721400,4.391878,1805592.000000,1673607769.712087,,,,
1673607769.721586,4.391878,1805593.000000,1673607769.713087,,,,
1673607769.721592,4.446145,1805594.000000,1673607769.714087,,,,
1673607769.721598,4.409967,1805595.000000,1673607769.715087,,,,
1673607769.721614,4.391878,1805596.000000,1673607769.716087,,,,
1673607769.721622,4.409967,1805597.000000,1673607769.717087,,,,
1673607769.721641,4.409967,1805598.000000,1673607769.718087,,,,
1673607769.721676,4.391878,1805599.000000,1673607769.719087,,,,
1673607769.721679,4.391878,1805600.000000,1673607769.720087,,,,
1673607769.721779,,,,42.277287,42.294163,1736620.000000,1673607257.663451
1673607769.721900,,,,42.271015,42.290726,1736621.000000,1673607257.664458
1673607769.722030,,,,42.270535,42.286636,1736622.000000,1673607257.665465
1673607769.722041,,,,42.270748,42.286324,1736623.000000,1673607257.666472
1673607769.725178,,,,42.262695,42.280170,1736624.000000,1673607257.667480
1673607769.725394,,,,42.259571,42.275314,1736625.000000,1673607257.668487
1673607769.725398,,,,42.252720,42.268822,1736626.000000,1673607257.669494
1673607769.725531,,,,42.253849,42.269352,1736627.000000,1673607257.670501
1673607769.725838,,,,42.260555,42.276085,1736628.000000,1673607257.671508
1673607769.725993,,,,42.261276,42.278030,1736629.000000,1673607257.672515
1673607769.726007,,,,42.262817,42.279377,1736630.000000,1673607257.673522
1673607769.726019,,,,42.260437,42.277164,1736631.000000,1673607257.674529
1673607769.726135,,,,42.263538,42.280579,1736632.000000,1673607257.675536
1673607769.726287,,,,42.273033,42.289761,1736633.000000,1673607257.676543
1673607769.726405,,,,42.280560,42.296997,1736634.000000,1673607257.677550
1673607769.726510,,,,42.285316,42.300533,1736635.000000,1673607257.678557
1673607769.726569,,,,42.285053,42.298538,1736636.000000,1673607257.679564
1673607769.726679,,,,42.284405,42.297962,1736637.000000,1673607257.680572
1673607769.726921,,,,42.294022,42.309883,1736638.000000,1673607257.681579
1673607769.726933,,,,42.288155,42.306614,1736639.000000,1673607257.682586
1673607769.726940,,,,42.280727,42.297600,1736640.000000,1673607257.683593
1673607769.726948,,,,42.278107,42.293850,1736641.000000,1673607257.684600
1673607769.728918,,,,42.275822,42.289738,1736642.000000,1673607257.685607
1673607769.729110,,,,42.270100,42.287624,1736643.000000,1673607257.686614
1673607769.731729,,,,42.263969,42.282696,1736644.000000,1673607257.687621
1673607769.731889,,,,42.258007,42.271397,1736645.000000,1673607257.688628
1673607769.731981,,,,42.251518,42.267117,1736646.000000,1673607257.689635
1673607769.732082,,,,42.253033,42.269955,1736647.000000,1673607257.690642
1673607769.732312,,,,42.256134,42.273560,1736648.000000,1673607257.691649
1673607769.732320,,,,42.260220,42.276733,1736649.000000,1673607257.692657
1673607769.732368,,,,42.261879,42.273823,1736650.000000,1673607257.693664
1673607769.732374,,,,42.258682,42.274712,1736651.000000,1673607257.694671
1673607769.736957,,,,42.263176,42.279377,1736652.000000,1673607257.695678
1673607769.737268,,,,42.266590,42.283295,1736653.000000,1673607257.696685
1673607769.737614,,,,42.273083,42.288971,1736654.000000,1673607257.697692
1673607769.737949,,,,42.274738,42.291759,1736655.000000,1673607257.698699
1673607769.738199,,,,42.273586,42.293442,1736656.000000,1673607257.699706
1673607769.738564,,,,42.264812,42.283176,1736657.000000,1673607257.700713
1673607769.738643,,,,42.262718,42.278511,1736658.000000,1673607257.701720
1673607769.739830,,,,42.263538,42.280941,1736659.000000,1673607257.702727
1673607769.739848,,,,42.261684,42.276398,1736660.000000,1673607257.703734
1673607769.739867,,,,42.258945,42.272022,1736661.000000,1673607257.704741
1673607769.740018,,,,42.254715,42.270988,1736662.000000,1673607257.705749
1673607769.740454,,,,42.253536,42.272118,1736663.000000,1673607257.706756
1673607769.740784,,,,42.250076,42.265697,1736664.000000,1673607257.707763
1673607769.741133,,,,42.236229,42.252811,1736665.000000,1673607257.708770
1673607769.744109,,,,42.239979,42.255817,1736666.000000,1673607257.709777
1673607769.744380,,,,42.248367,42.262596,1736667.000000,1673607257.710784
1673607769.744672,,,,42.257889,42.273125,1736668.000000,1673607257.711791
1673607769.744683,,,,42.270535,42.287430,1736669.000000,1673607257.712798
1673607769.746493,,,,42.279186,42.295822,1736670.000000,1673607257.713805
1673607769.746946,,,,42.284210,42.300797,1736671.000000,1673607257.714812
1673607769.746979,,,,42.297363,42.314571,1736672.000000,1673607257.715819
