__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1673612102.762673,,,,-5.600871,-5.603014,5897545.000000,1673606982.915526
1673612102.763045,,,,-5.596303,-5.600946,5897546.000000,1673606982.916533
1673612102.763184,-0.022116,4649117.000000,1673612102.701355,,,,
1673612102.763417,-0.022116,4649118.000000,1673612102.702355,,,,
1673612102.763430,,,,-5.588418,-5.592652,5897547.000000,1673606982.917541
1673612102.763768,0.014062,4649119.000000,1673612102.703355,,,,
1673612102.763781,-0.022116,4649120.000000,1673612102.704355,,,,
1673612102.763788,-0.094472,4649167.000000,1673612102.751355,,,,
1673612102.763794,-0.112561,4649168.000000,1673612102.752355,,,,
1673612102.763830,-0.148747,4649169.000000,1673612102.753355,,,,
1673612102.763927,-0.221104,4649170.000000,1673612102.754355,,,,
1673612102.763939,-0.184925,4649171.000000,1673612102.755355,,,,
1673612102.763949,-0.148747,4649172.000000,1673612102.756355,,,,
1673612102.763961,-0.221104,4649173.000000,1673612102.757355,,,,
1673612102.763980,-0.221104,4649174.000000,1673612102.758355,,,,
1673612102.763988,-0.203014,4649175.000000,1673612102.759355,,,,
1673612102.764004,-0.221104,4649176.000000,1673612102.760355,,,,
1673612102.764037,,,,-5.590077,-5.595008,5897548.000000,1673606982.918548
1673612102.764081,,,,-5.597914,-5.602918,5897549.000000,1673606982.919555
1673612102.764142,,,,-5.594549,-5.595850,5897550.000000,1673606982.920562
1673612102.764149,,,,-5.595414,-5.594936,5897551.000000,1673606982.921569
1673612102.764578,,,,-5.578586,-5.579863,5897552.000000,1673606982.922576
1673612102.764763,,,,-5.567599,-5.570199,5897553.000000,1673606982.923583
1673612102.764995,,,,-5.563897,-5.564501,5897554.000000,1673606982.924590
1673612102.765227,,,,-5.564450,-5.565943,5897555.000000,1673606982.925597
1673612102.769712,,,,-5.570508,-5.572242,5897556.000000,1673606982.926604
1673612102.769976,,,,-5.588611,-5.587748,5897557.000000,1673606982.927611
1673612102.769990,,,,-5.609478,-5.609168,5897558.000000,1673606982.928618
