__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1673610102.944978,,,,12.266541,12.270409,3966278.000000,1673607031.015624
1673610102.945232,,,,12.268056,12.272861,3966279.000000,1673607031.016631
1673610102.945573,,,,12.265820,12.271779,3966280.000000,1673607031.017638
1673610102.951774,,,,12.266637,12.272861,3966281.000000,1673607031.018645
1673610102.952019,,,,12.269858,12.272524,3966282.000000,1673607031.019652
1673610102.952395,,,,12.266853,12.271033,3966283.000000,1673607031.020659
1673610102.952854,,,,12.264017,12.269591,3966284.000000,1673607031.021667
1673610102.952926,,,,12.262046,12.267981,3966285.000000,1673607031.022674
1673610102.953183,,,,12.263464,12.269423,3966286.000000,1673607031.023681
1673610102.953211,,,,12.264449,12.269855,3966287.000000,1673607031.024688
1673610102.954383,,,,12.264449,12.269879,3966288.000000,1673607031.025695
1673610102.954408,,,,12.263512,12.269207,3966289.000000,1673607031.026702
1673610102.954463,,,,12.263536,12.267548,3966290.000000,1673607031.027709
1673610102.954471,,,,12.263777,12.268028,3966291.000000,1673607031.028716
1673610102.954771,0.267326,3575395.000000,1673610102.892606,,,,
1673610102.954800,0.339690,3575396.000000,1673610102.893606,,,,
1673610102.954815,0.249237,3575411.000000,1673610102.908607,,,,
1673610102.954829,0.303504,3575412.000000,1673610102.909606,,,,
1673610102.954886,0.303504,3575413.000000,1673610102.910607,,,,
1673610102.954903,0.267326,3575414.000000,1673610102.911607,,,,
1673610102.954959,0.285415,3575415.000000,1673610102.912606,,,,
1673610102.954969,0.303504,3575416.000000,1673610102.913606,,,,
1673610102.954989,0.339690,3575417.000000,1673610102.914607,,,,
1673610102.955010,0.303504,3575418.000000,1673610102.915606,,,,
1673610102.956572,0.321601,3575419.000000,1673610102.916606,,,,
1673610102.956581,0.339690,3575420.000000,1673610102.917607,,,,
1673610102.956595,0.321601,3575445.000000,1673610102.942606,,,,
1673610102.956607,0.339690,3575446.000000,1673610102.943607,,,,
1673610102.956620,0.303504,3575447.000000,1673610102.944607,,,,
1673610102.956634,0.321601,3575448.000000,1673610102.945606,,,,
1673610102.956806,0.249237,3575449.000000,1673610102.946606,,,,
1673610102.956822,0.267326,3575450.000000,1673610102.947607,,,,
1673610102.956828,0.285415,3575451.000000,1673610102.948606,,,,
1673610102.956833,0.285415,3575452.000000,1673610102.949606,,,,
1673610102.956841,0.303504,3575453.000000,1673610102.950607,,,,
1673610102.956851,0.249237,3575454.000000,1673610102.951607,,,,
1673610102.958741,,,,12.263464,12.267788,3966292.000000,1673607031.029723
1673610102.958752,,,,12.263271,12.271202,3966293.000000,1673607031.030730
1673610102.958878,,,,12.263464,12.269327,3966294.000000,1673607031.031737
1673610102.959171,,,,12.264449,12.269688,3966295.000000,1673607031.032744
1673610102.959177,,,,12.268560,12.273077,3966296.000000,1673607031.033751
1673610102.959224,,,,12.264498,12.268967,3966297.000000,1673607031.034759
1673610102.959227,,,,12.265171,12.269399,3966298.000000,1673607031.035766
1673610102.960580,,,,12.269787,12.273438,3966299.000000,1673607031.036773
1673610102.960726,,,,12.272263,12.275217,3966300.000000,1673607031.037780
1673610102.960885,,,,12.271830,12.276011,3966301.000000,1673607031.038787
1673610102.965775,,,,12.267190,12.272933,3966302.000000,1673607031.039794
1673610102.966027,,,,12.267863,12.275890,3966303.000000,1673607031.040801
1673610102.966186,,,,12.271037,12.277500,3966304.000000,1673607031.041808
1673610102.966355,,,,12.271878,12.277452,3966305.000000,1673607031.042815
1673610102.968332,,,,12.266902,12.272163,3966306.000000,1673607031.043822
1673610102.968355,,,,12.263848,12.269279,3966307.000000,1673607031.044829
1673610102.968642,,,,12.263416,12.267427,3966308.000000,1673607031.045836
1673610102.968857,,,,12.263175,12.270505,3966309.000000,1673607031.046844
1673610102.973780,,,,12.262647,12.270962,3966310.000000,1673607031.047851
1673610102.974212,,,,12.263584,12.271082,3966311.000000,1673607031.048858
1673610102.974551,,,,12.265171,12.269832,3966312.000000,1673607031.049865
1673610102.974565,,,,12.262527,12.263701,3966313.000000,1673607031.050872
1673610102.975782,,,,12.264978,12.267813,3966314.000000,1673607031.051879
1673610102.976043,,,,12.272672,12.278630,3966315.000000,1673607031.052886
1673610102.976307,,,,12.269907,12.273414,3966316.000000,1673607031.053893
1673610102.981508,,,,12.266421,12.269302,3966317.000000,1673607031.054900
1673610102.981981,,,,12.267239,12.272236,3966318.000000,1673607031.055907
1673610102.981994,,,,12.269811,12.275529,3966319.000000,1673607031.056914
1673610102.982248,,,,12.269667,12.273726,3966320.000000,1673607031.057921
1673610102.982505,,,,12.269474,12.274159,3966321.000000,1673607031.058928
1673610102.982969,,,,12.271565,12.276443,3966322.000000,1673607031.059936
1673610102.983011,,,,12.271878,12.276491,3966323.000000,1673607031.060943
1673610102.983031,,,,12.272984,12.278654,3966324.000000,1673607031.061950
1673610102.983483,,,,12.267623,12.271852,3966325.000000,1673607031.062957
1673610102.983647,,,,12.263608,12.269519,3966326.000000,1673607031.063964
1673610102.983993,,,,12.265267,12.270481,3966327.000000,1673607031.064971
1673610102.984381,,,,12.266493,12.272813,3966328.000000,1673607031.065978
1673610102.984537,,,,12.266662,12.272837,3966329.000000,1673607031.066985
1673610102.984556,,,,12.265628,12.269567,3966330.000000,1673607031.067992
1673610103.004706,,,,12.262527,12.266754,3966331.000000,1673607031.068999
1673610103.004724,,,,12.261084,12.264422,3966332.000000,1673607031.070006
1673610103.004915,,,,12.259689,12.263966,3966333.000000,1673607031.071013
1673610103.005055,,,,12.264738,12.266971,3966334.000000,1673607031.072021
1673610103.009502,0.249237,3575455.000000,1673610102.948779,,,,
1673610103.009520,0.285415,3575456.000000,1673610102.949779,,,,
1673610103.009813,0.213059,3575457.000000,1673610102.950779,,,,
1673610103.009833,0.249237,3575458.000000,1673610102.951779,,,,
1673610103.010000,0.231148,3575459.000000,1673610102.952779,,,,
1673610103.010257,0.213059,3575460.000000,1673610102.953779,,,,
1673610103.010275,0.249237,3575461.000000,1673610102.954779,,,,
1673610103.010325,0.249237,3575462.000000,1673610102.955779,,,,
1673610103.010360,0.267326,3575463.000000,1673610102.956779,,,,
1673610103.011646,,,,12.262383,12.266659,3966335.000000,1673607031.073028
1673610103.011994,,,,12.268729,12.276587,3966336.000000,1673607031.074035
1673610103.012599,,,,12.274714,12.281972,3966337.000000,1673607031.075042
1673610103.013088,0.267326,3575464.000000,1673610102.957779,,,,
1673610103.013119,0.303504,3575465.000000,1673610102.958779,,,,
1673610103.013132,0.267326,3575466.000000,1673610102.959779,,,,
1673610103.013151,0.285415,3575467.000000,1673610102.960779,,,,
1673610103.013162,0.267326,3575468.000000,1673610102.961779,,,,
1673610103.013175,0.285415,3575506.000000,1673610102.999779,,,,
1673610103.013251,0.339690,3575507.000000,1673610103.000779,,,,
1673610103.013336,0.339690,3575508.000000,1673610103.001779,,,,
1673610103.013347,0.321601,3575509.000000,1673610103.002779,,,,
1673610103.013487,0.321601,3575510.000000,1673610103.003779,,,,
1673610103.013501,0.321601,3575511.000000,1673610103.004779,,,,
1673610103.013509,0.339690,3575512.000000,1673610103.005779,,,,
1673610103.013535,0.267326,3575513.000000,1673610103.006779,,,,
1673610103.013565,0.357779,3575514.000000,1673610103.007779,,,,
1673610103.013572,0.267326,3575515.000000,1673610103.008779,,,,
1673610103.013880,,,,12.270580,12.275337,3966338.000000,1673607031.076049
1673610103.013899,,,,12.268056,12.272212,3966339.000000,1673607031.077056
1673610103.013945,,,,12.274980,12.276058,3966340.000000,1673607031.078063
1673610103.014451,,,,12.274426,12.278654,3966341.000000,1673607031.079070
1673610103.014469,,,,12.274499,12.278606,3966342.000000,1673607031.080077
1673610103.014553,,,,12.265868,12.266803,3966343.000000,1673607031.081084
1673610103.014563,,,,12.262454,12.263918,3966344.000000,1673607031.082091
1673610103.014568,,,,12.268440,12.275361,3966345.000000,1673607031.083098
1673610103.020009,,,,12.280797,12.287862,3966346.000000,1673607031.084105
1673610103.020098,,,,12.291039,12.297334,3966347.000000,1673607031.085113
1673610103.020182,,,,12.294211,12.299570,3966348.000000,1673607031.086120
1673610103.020393,,,,12.303203,12.308296,3966349.000000,1673607031.087127
1673610103.020536,,,,12.291543,12.296396,3966350.000000,1673607031.088134
1673610103.020711,,,,12.232211,12.233891,3966351.000000,1673607031.089141
1673610103.020829,,,,12.210719,12.216630,3966352.000000,1673607031.090148
1673610103.021767,,,,12.256371,12.261225,3966356.000000,1673607031.094176
1673610103.021779,,,,12.258535,12.263798,3966357.000000,1673607031.095183
1673610103.021792,,,,12.257478,12.262932,3966358.000000,1673607031.096190
1673610103.021796,,,,12.262141,12.263437,3966359.000000,1673607031.097198
1673610103.021894,,,,12.264738,12.267427,3966360.000000,1673607031.098205
1673610103.021902,,,,12.263848,12.270168,3966361.000000,1673607031.099212
1673610103.021934,,,,12.265291,12.270842,3966362.000000,1673607031.100219
1673610103.021947,,,,12.277384,12.284136,3966363.000000,1673607031.101226
1673610103.022013,,,,12.293130,12.301974,3966364.000000,1673607031.102233
1673610103.022036,,,,12.289019,12.294088,3966365.000000,1673607031.103240
1673610103.026102,,,,12.285413,12.290266,3966366.000000,1673607031.104247
1673610103.026330,,,,12.289259,12.293608,3966367.000000,1673607031.105254
1673610103.026547,,,,12.288105,12.294954,3966368.000000,1673607031.106261
1673610103.027102,,,,12.256973,12.261586,3966369.000000,1673607031.107268
1673610103.027202,,,,12.217258,12.221222,3966370.000000,1673607031.108275
1673610103.027256,,,,12.220816,12.225645,3966371.000000,1673607031.109282
1673610103.027263,,,,12.232548,12.236631,3966372.000000,1673607031.110290
1673610103.027271,,,,12.236057,12.241320,3966373.000000,1673607031.111297
1673610103.028575,,,,12.236754,12.243868,3966374.000000,1673607031.112304
1673610103.028891,,,,12.241611,12.245575,3966375.000000,1673607031.113311
1673610103.029203,,,,12.240216,12.243267,3966376.000000,1673607031.114318
1673610103.029656,,,,12.238702,12.244493,3966377.000000,1673607031.115325
1673610103.029684,,,,12.239784,12.244205,3966378.000000,1673607031.116332
1673610103.029792,,,,12.249040,12.252499,3966379.000000,1673607031.117339
1673610103.029886,,,,12.261108,12.264807,3966380.000000,1673607031.118346
1673610103.041251,,,,12.261733,12.265432,3966381.000000,1673607031.119353
1673610103.041592,,,,12.266229,12.270432,3966382.000000,1673607031.120360
1673610103.041606,,,,12.276711,12.282332,3966383.000000,1673607031.121367
