__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1718094251.561873,,,,0.192755148,0.193174526,29460.000000000,1718094251.561873198
1718094251.562880,,,,0.192683026,0.192982197,29461.000000000,1718094251.562880278
1718094251.563887,,,,0.175854653,0.176274016,29462.000000000,1718094251.563887358
1718094251.564894,,,,0.157944441,0.158820584,29463.000000000,1718094251.564894438
1718094251.565902,,,,0.135562703,0.136054188,29464.000000000,1718094251.565901518
1718094251.566909,,,,0.122220196,0.121125013,29465.000000000,1718094251.566908598
1718094251.567916,,,,0.116811074,0.116364986,29466.000000000,1718094251.567915678
1718094251.568923,,,,0.121523023,0.120740369,29467.000000000,1718094251.568922758
1718094251.569930,,,,0.121643223,0.120475918,29468.000000000,1718094251.569929838
1718094251.570937,,,,0.093828321,0.095161229,29469.000000000,1718094251.570936918
1718094251.571944,,,,0.080317535,0.079318509,29470.000000000,1718094251.571943998
1718094251.572951,,,,0.087890305,0.088886648,29471.000000000,1718094251.572951078
1718094251.573958,,,,0.110416293,0.108623937,29472.000000000,1718094251.573958158
1718094251.574965,,,,0.125441626,0.122543409,29473.000000000,1718094251.574965239
1718094251.575972,,,,0.133302882,0.130500823,29474.000000000,1718094251.575972319
1718094251.576979,,,,0.140226573,0.140766144,29475.000000000,1718094251.576979399
1718094251.577986,,,,0.145251036,0.145766571,29476.000000000,1718094251.577986479
1718094251.578994,,,,0.159434959,0.159878373,29477.000000000,1718094251.578993559
1718094251.580001,,,,0.171286941,0.171105310,29478.000000000,1718094251.580000639
1718094251.581008,,,,0.174580500,0.174182490,29479.000000000,1718094251.581007719
1718094251.582015,,,,0.175109386,0.176298067,29480.000000000,1718094251.582014799
1718094251.583022,,,,0.167344302,0.168364689,29481.000000000,1718094251.583021879
1718094251.584029,,,,0.158473343,0.157666638,29482.000000000,1718094251.584028959
1718094251.585036,,,,0.155251905,0.151776701,29483.000000000,1718094251.585036039
1718094251.586043,,,,0.150179356,0.149685174,29484.000000000,1718094251.586043119
1718094251.587050,,,,0.131908536,0.133481860,29485.000000000,1718094251.587050200
1718094251.588057,,,,0.113277115,0.115812056,29486.000000000,1718094251.588057280
1718094251.589064,,,,0.108733453,0.112230018,29487.000000000,1718094251.589064360
1718094251.590071,,,,0.108156480,0.106412202,29488.000000000,1718094251.590071440
1718094251.591079,,,,0.099357642,0.098526902,29489.000000000,1718094251.591078520
1718094251.592086,,,,0.093059018,0.095016986,29490.000000000,1718094251.592085600
1718094251.593093,,,,0.090991534,0.089968473,29491.000000000,1718094251.593092680
1718094251.594100,,,,0.103708982,0.102878243,29492.000000000,1718094251.594099760
1718094251.595107,,,,0.125850320,0.125356153,29493.000000000,1718094251.595106840
1718094251.596114,,,,0.129408315,0.131390333,29494.000000000,1718094251.596113920
1718094251.597121,,,,0.133134604,0.134275198,29495.000000000,1718094251.597121000
1718094251.598128,,,,0.153713316,0.154493287,29496.000000000,1718094251.598128080
1718094251.599135,,,,0.167849153,0.167138621,29497.000000000,1718094251.599135160
1718094251.600142,,,,0.174340099,0.175865337,29498.000000000,1718094251.600142241
1718094251.601149,,,,0.181023359,0.184616089,29499.000000000,1718094251.601149321
1718094251.602156,,,,0.178426981,0.179976270,29500.000000000,1718094251.602156401
1718094251.603163,,,,0.172176450,0.169422463,29501.000000000,1718094251.603163481
1718094251.604171,,,,0.176503748,0.173629567,29502.000000000,1718094251.604170561
1718094251.605178,,,,0.177200913,0.175504729,29503.000000000,1718094251.605177641
1718094251.606185,,,,0.156862617,0.157089666,29504.000000000,1718094251.606184721
1718094251.607192,,,,0.139024541,0.139347747,29505.000000000,1718094251.607191801
1718094251.608199,,,,0.130826712,0.134154990,29506.000000000,1718094251.608198881
1718094251.609206,,,,0.131187320,0.132063463,29507.000000000,1718094251.609205961
1718094251.610213,,,,0.130297825,0.129467085,29508.000000000,1718094251.610213041
1718094251.611220,,,,0.113709845,0.112831026,29509.000000000,1718094251.611220121
1718094251.612227,,,,0.106497683,0.105065934,29510.000000000,1718094251.612227201
1718094251.613234,,,,0.108324766,0.109705761,29511.000000000,1718094251.613234282
1718094251.614241,,,,0.113830052,0.115283161,29512.000000000,1718094251.614241362
1718094251.614486,0.430308074,5951.000000000,1718094251.614485979,,,,
1718094251.615248,,,,0.112171255,0.113383964,29513.000000000,1718094251.615248442
1718094251.616256,,,,0.119287252,0.120019153,29514.000000000,1718094251.616255522
1718094251.617263,,,,0.132293180,0.130236387,29515.000000000,1718094251.617262602
1718094251.618270,,,,0.143832654,0.141174823,29516.000000000,1718094251.618269682
1718094251.619277,,,,0.149890870,0.150550634,29517.000000000,1718094251.619276762
1718094251.619486,0.430308074,5952.000000000,1718094251.619486094,,,,
1718094251.620284,,,,0.157872319,0.159517765,29518.000000000,1718094251.620283842
1718094251.621291,,,,0.166526914,0.169614792,29519.000000000,1718094251.621290922
1718094251.622298,,,,0.176455662,0.179471418,29520.000000000,1718094251.622298002
1718094251.623305,,,,0.176647991,0.179206967,29521.000000000,1718094251.623305082
1718094251.624312,,,,0.168209761,0.170336008,29522.000000000,1718094251.624312162
1718094251.624486,0.447982699,5953.000000000,1718094251.624485970,,,,
1718094251.625319,,,,0.155949086,0.159565851,29523.000000000,1718094251.625319242
1718094251.626326,,,,0.143015265,0.146199301,29524.000000000,1718094251.626326323
1718094251.627333,,,,0.136187747,0.136847526,29525.000000000,1718094251.627333403
1718094251.628340,,,,0.128470734,0.127135158,29526.000000000,1718094251.628340483
1718094251.629348,,,,0.113878131,0.111869410,29527.000000000,1718094251.629347563
1718094251.629486,0.465657175,5954.000000000,1718094251.629486084,,,,
1718094251.630355,,,,0.102218464,0.099849135,29528.000000000,1718094251.630354643
1718094251.631362,,,,0.093996599,0.094055362,29529.000000000,1718094251.631361723
1718094251.632369,,,,0.095270753,0.094127484,29530.000000000,1718094251.632368803
1718094251.633376,,,,0.103660896,0.102493592,29531.000000000,1718094251.633375883
1718094251.634383,,,,0.109646998,0.109441310,29532.000000000,1718094251.634382963
1718094251.634486,0.412625194,5955.000000000,1718094251.634485960,,,,
1718094251.635390,,,,0.117868863,0.119321972,29533.000000000,1718094251.635390043
1718094251.636397,,,,0.137774423,0.137208134,29534.000000000,1718094251.636397123
1718094251.637404,,,,0.149650455,0.145261720,29535.000000000,1718094251.637404203
1718094251.638411,,,,0.166695207,0.162763238,29536.000000000,1718094251.638411283
1718094251.639418,,,,0.169580072,0.168004081,29537.000000000,1718094251.639418364
1718094251.639486,0.483331501,5956.000000000,1718094251.639486074,,,,
1718094251.640425,,,,0.167176008,0.166537598,29538.000000000,1718094251.640425444
1718094251.641433,,,,0.174123734,0.174807549,29539.000000000,1718094251.641432524
1718094251.642440,,,,0.177922130,0.177956864,29540.000000000,1718094251.642439604
1718094251.643447,,,,0.168113589,0.168701246,29541.000000000,1718094251.643446684
1718094251.644454,,,,0.159675360,0.159950495,29542.000000000,1718094251.644453764
1718094251.644486,0.536353648,5957.000000000,1718094251.644485950,,,,
1718094251.645461,,,,0.157535762,0.156344414,29543.000000000,1718094251.645460844
1718094251.646468,,,,0.140995860,0.139179468,29544.000000000,1718094251.646467924
1718094251.647475,,,,0.120633520,0.118672878,29545.000000000,1718094251.647475004
1718094251.648482,,,,0.102651194,0.103359051,29546.000000000,1718094251.648482084
1718094251.649486,0.554035544,5958.000000000,1718094251.649486065,,,,
1718094251.649489,,,,0.087914348,0.090882011,29547.000000000,1718094251.649489164
1718094251.650496,,,,0.093155183,0.094752543,29548.000000000,1718094251.650496244
1718094251.651503,,,,0.093275383,0.095016986,29549.000000000,1718094251.651503325
1718094251.652510,,,,0.092674375,0.092300408,29550.000000000,1718094251.652510405
1718094251.653517,,,,0.108469009,0.107061297,29551.000000000,1718094251.653517485
1718094251.654486,0.624729156,5959.000000000,1718094251.654485941,,,,
1718094251.654525,,,,0.125657991,0.124610893,29552.000000000,1718094251.654524565
1718094251.655532,,,,0.138784125,0.138818860,29553.000000000,1718094251.655531645
1718094251.656539,,,,0.147486806,0.148843765,29554.000000000,1718094251.656538725
1718094251.657546,,,,0.156550094,0.158940792,29555.000000000,1718094251.657545805
1718094251.658553,,,,0.180951238,0.179735854,29556.000000000,1718094251.658552885
1718094251.658837,0.730773449,5961.000000000,1718094251.658836842,,,,
1718094251.659486,0.607055962,5960.000000000,1718094251.659486055,,,,
1718094251.659560,,,,0.203092590,0.200627089,29557.000000000,1718094251.659559965
1718094251.660567,,,,0.209655657,0.209834620,29558.000000000,1718094251.660567045
1718094251.661574,,,,0.205857247,0.205074593,29559.000000000,1718094251.661574125
1718094251.662581,,,,0.179917499,0.176418260,29560.000000000,1718094251.662581205
1718094251.663588,,,,0.150203392,0.149276495,29561.000000000,1718094251.663588285
1718094251.663837,0.783789575,5962.000000000,1718094251.663836956,,,,
