__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1718097450.257686,,,,-1.331780314,-1.330110073,125325.000000000,1718097450.257686138
1718097450.258693,,,,-1.324303746,-1.322585344,125326.000000000,1718097450.258693218
1718097450.259700,,,,-1.300311208,-1.300660372,125327.000000000,1718097450.259700298
1718097450.260707,,,,-1.273337722,-1.272605062,125328.000000000,1718097450.260707378
1718097450.261714,,,,-1.279876828,-1.277052522,125329.000000000,1718097450.261714458
1718097450.262295,0.174184516,25316.000000000,1718097450.262295008,,,,
1718097450.262722,,,,-1.289276600,-1.288904548,125330.000000000,1718097450.262721539
1718097450.263729,,,,-1.290478706,-1.290587425,125331.000000000,1718097450.263728619
1718097450.264736,,,,-1.301585436,-1.302222967,125332.000000000,1718097450.264735699
1718097450.265743,,,,-1.313677788,-1.315349102,125333.000000000,1718097450.265742779
1718097450.266750,,,,-1.322813153,-1.322176695,125334.000000000,1718097450.266749859
1718097450.267295,0.174184516,25317.000000000,1718097450.267294884,,,,
1718097450.267757,,,,-1.318702221,-1.317224264,125335.000000000,1718097450.267756939
1718097450.268764,,,,-1.308869720,-1.308016777,125336.000000000,1718097450.268764019
1718097450.269771,,,,-1.308509111,-1.306189656,125337.000000000,1718097450.269771099
1718097450.270778,,,,-1.308124423,-1.306790709,125338.000000000,1718097450.270778179
1718097450.271785,,,,-1.295214653,-1.295251250,125339.000000000,1718097450.271785259
1718097450.272295,0.244898573,25318.000000000,1718097450.272294998,,,,
1718097450.272792,,,,-1.291608572,-1.290371060,125340.000000000,1718097450.272792339
1718097450.273799,,,,-1.297955275,-1.298328400,125341.000000000,1718097450.273799419
1718097450.274806,,,,-1.308965802,-1.308281183,125342.000000000,1718097450.274806499
1718097450.275814,,,,-1.304037571,-1.304122210,125343.000000000,1718097450.275813580
1718097450.276821,,,,-1.291728735,-1.293015480,125344.000000000,1718097450.276820660
1718097450.277295,0.315602243,25319.000000000,1718097450.277294874,,,,
1718097450.277828,,,,-1.296897531,-1.296429276,125345.000000000,1718097450.277827740
1718097450.278835,,,,-1.303917289,-1.303064466,125346.000000000,1718097450.278834820
1718097450.279842,,,,-1.307403207,-1.307776332,125347.000000000,1718097450.279841900
1718097450.280849,,,,-1.311730504,-1.310012102,125348.000000000,1718097450.280848980
1718097450.281856,,,,-1.310071707,-1.309435129,125349.000000000,1718097450.281856060
1718097450.282295,0.457010776,25320.000000000,1718097450.282294989,,,,
1718097450.282863,,,,-1.309158206,-1.308641791,125350.000000000,1718097450.282863140
1718097450.283870,,,,-1.302186370,-1.301622033,125351.000000000,1718097450.283870220
1718097450.284877,,,,-1.295214653,-1.294986844,125352.000000000,1718097450.284877300
1718097450.285884,,,,-1.293171167,-1.294313669,125353.000000000,1718097450.285884380
1718097450.286891,,,,-1.291800857,-1.289842129,125354.000000000,1718097450.286891460
1718097450.287899,,,,-1.277304411,-1.276667953,125355.000000000,1718097450.287898540
1718097450.288906,,,,-1.276703477,-1.277509332,125356.000000000,1718097450.288905621
1718097450.289913,,,,-1.283362627,-1.282966495,125357.000000000,1718097450.289912701
1718097450.290920,,,,-1.285910964,-1.287365913,125358.000000000,1718097450.290919781
1718097450.291927,,,,-1.290935397,-1.291741371,125359.000000000,1718097450.291926861
1718097450.292934,,,,-1.287906289,-1.288832426,125360.000000000,1718097450.292933941
1718097450.293941,,,,-1.295503139,-1.293856859,125361.000000000,1718097450.293941021
1718097450.294948,,,,-1.298291802,-1.298737168,125362.000000000,1718097450.294948101
1718097450.295955,,,,-1.296176314,-1.295082927,125363.000000000,1718097450.295955181
1718097450.296962,,,,-1.291007519,-1.290082574,125364.000000000,1718097450.296962261
1718097450.297969,,,,-1.288098693,-1.287798643,125365.000000000,1718097450.297969341
1718097450.298976,,,,-1.279948950,-1.281956792,125366.000000000,1718097450.298976421
1718097450.299984,,,,-1.277785301,-1.280682683,125367.000000000,1718097450.299983501
1718097450.300875,0.704455674,25323.000000000,1718097450.300875187,,,,
1718097450.300991,,,,-1.286992788,-1.290659547,125368.000000000,1718097450.300990582
1718097450.301998,,,,-1.297354221,-1.299746871,125369.000000000,1718097450.301997662
1718097450.303005,,,,-1.315577030,-1.314147115,125370.000000000,1718097450.303004742
1718097450.304012,,,,-1.324015260,-1.323811412,125371.000000000,1718097450.304011822
1718097450.305019,,,,-1.331299543,-1.334244967,125372.000000000,1718097450.305018902
1718097450.305875,0.881181419,25324.000000000,1718097450.305875301,,,,
1718097450.306026,,,,-1.347983599,-1.347875953,125373.000000000,1718097450.306025982
1718097450.307033,,,,-1.350483894,-1.348332763,125374.000000000,1718097450.307033062
1718097450.308040,,,,-1.328390598,-1.327465534,125375.000000000,1718097450.308040142
1718097450.309047,,,,-1.328751206,-1.328691602,125376.000000000,1718097450.309047222
1718097450.310054,,,,-1.332958341,-1.333667994,125377.000000000,1718097450.310054302
1718097450.310875,1.004883289,25325.000000000,1718097450.310875177,,,,
1718097450.311061,,,,-1.322212219,-1.322513223,125378.000000000,1718097450.311061382
1718097450.312068,,,,-1.292930841,-1.295491695,125379.000000000,1718097450.312068462
1718097450.313076,,,,-1.237084627,-1.238972306,125380.000000000,1718097450.313075542
1718097450.314083,,,,-1.205375195,-1.205796361,125381.000000000,1718097450.314082623
1718097450.315090,,,,-1.216962695,-1.218225360,125382.000000000,1718097450.315089703
1718097450.315875,1.146247149,25326.000000000,1718097450.315875292,,,,
