__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1718098564.557756,,,,-1.562701821,-1.559652567,133060.000000000,1718098564.557756186
1718098564.558763,,,,-1.551979780,-1.550541162,133061.000000000,1718098564.558763266
1718098564.559770,,,,-1.556210876,-1.555781960,133062.000000000,1718098564.559770346
1718098564.560749,0.177684069,27024.000000000,1718098564.560748577,,,,
1718098564.560777,,,,-1.574601889,-1.573451877,133063.000000000,1718098564.560777426
1718098564.561785,,,,-1.594194889,-1.593790174,133064.000000000,1718098564.561784506
1718098564.562792,,,,-1.582342982,-1.583019972,133065.000000000,1718098564.562791586
1718098564.563799,,,,-1.567942619,-1.567826271,133066.000000000,1718098564.563798666
1718098564.564806,,,,-1.559552550,-1.561143041,133067.000000000,1718098564.564805746
1718098564.565748,0.160007253,27025.000000000,1718098564.565748453,,,,
1718098564.565813,,,,-1.563398957,-1.564436555,133068.000000000,1718098564.565812826
1718098564.566820,,,,-1.574457645,-1.573596120,133069.000000000,1718098564.566819906
1718098564.567827,,,,-1.574625969,-1.573740363,133070.000000000,1718098564.567826986
1718098564.568834,,,,-1.558542848,-1.558426499,133071.000000000,1718098564.568834066
1718098564.569841,,,,-1.542147160,-1.543521285,133072.000000000,1718098564.569841146
1718098564.570749,0.283750087,27026.000000000,1718098564.570748568,,,,
1718098564.570848,,,,-1.549383402,-1.550324798,133073.000000000,1718098564.570848227
1718098564.571855,,,,-1.573375821,-1.576144338,133074.000000000,1718098564.571855307
1718098564.572862,,,,-1.581405401,-1.584606647,133075.000000000,1718098564.572862387
1718098564.573869,,,,-1.573111415,-1.575375080,133076.000000000,1718098564.573869467
1718098564.574877,,,,-1.567606091,-1.568259001,133077.000000000,1718098564.574876547
1718098564.575748,0.266074121,27027.000000000,1718098564.575748444,,,,
1718098564.575884,,,,-1.570394754,-1.571360230,133078.000000000,1718098564.575883627
1718098564.576891,,,,-1.571572781,-1.571408391,133079.000000000,1718098564.576890707
1718098564.577898,,,,-1.568856239,-1.570254445,133080.000000000,1718098564.577897787
1718098564.578905,,,,-1.564625025,-1.565927148,133081.000000000,1718098564.578904867
1718098564.579912,,,,-1.559071660,-1.561984420,133082.000000000,1718098564.579911947
1718098564.580749,0.213045388,27028.000000000,1718098564.580748558,,,,
1718098564.580919,,,,-1.562509537,-1.562585473,133083.000000000,1718098564.580919027
1718098564.581926,,,,-1.565755010,-1.567513824,133084.000000000,1718098564.581926107
1718098564.582933,,,,-1.566908956,-1.569653392,133085.000000000,1718098564.582933187
1718098564.583940,,,,-1.564913511,-1.565614581,133086.000000000,1718098564.583940268
1718098564.584947,,,,-1.566836834,-1.567032933,133087.000000000,1718098564.584947348
1718098564.585748,0.248398021,27029.000000000,1718098564.585748434,,,,
1718098564.585954,,,,-1.575299025,-1.573908567,133088.000000000,1718098564.585954428
1718098564.586962,,,,-1.582366943,-1.578187823,133089.000000000,1718098564.586961508
1718098564.587969,,,,-1.578640699,-1.576889634,133090.000000000,1718098564.587968588
1718098564.588976,,,,-1.572197795,-1.573764324,133091.000000000,1718098564.588975668
1718098564.589983,,,,-1.571236253,-1.572129607,133092.000000000,1718098564.589982748
1718098564.590749,0.283750087,27030.000000000,1718098564.590748549,,,,
1718098564.590990,,,,-1.566932917,-1.567153215,133093.000000000,1718098564.590989828
1718098564.591997,,,,-1.561595917,-1.563186526,133094.000000000,1718098564.591996908
1718098564.593004,,,,-1.561307430,-1.564268351,133095.000000000,1718098564.593003988
1718098564.594011,,,,-1.565803051,-1.563835621,133096.000000000,1718098564.594011068
1718098564.595018,,,,-1.567197442,-1.564556837,133097.000000000,1718098564.595018148
1718098564.595748,0.248398021,27031.000000000,1718098564.595748425,,,,
1718098564.596025,,,,-1.565851092,-1.564196229,133098.000000000,1718098564.596025229
1718098564.597032,,,,-1.562461376,-1.562801838,133099.000000000,1718098564.597032309
1718098564.598039,,,,-1.561475754,-1.561888337,133100.000000000,1718098564.598039389
1718098564.599046,,,,-1.558254361,-1.558282256,133101.000000000,1718098564.599046469
1718098564.600054,,,,-1.558254361,-1.557536960,133102.000000000,1718098564.600053549
1718098564.600749,0.336777091,27032.000000000,1718098564.600748539,,,,
1718098564.601061,,,,-1.561283469,-1.558186054,133103.000000000,1718098564.601060629
1718098564.602068,,,,-1.561427712,-1.559941053,133104.000000000,1718098564.602067709
1718098564.603075,,,,-1.564336538,-1.565566540,133105.000000000,1718098564.603074789
1718098564.604082,,,,-1.568976402,-1.571648836,133106.000000000,1718098564.604081869
1718098564.605089,,,,-1.576068401,-1.578788877,133107.000000000,1718098564.605088949
1718098564.605748,0.319101572,27033.000000000,1718098564.605748415,,,,
1718098564.606096,,,,-1.579097509,-1.580351472,133108.000000000,1718098564.606096029
1718098564.607103,,,,-1.584121943,-1.583380580,133109.000000000,1718098564.607103109
1718098564.608110,,,,-1.585636497,-1.583837390,133110.000000000,1718098564.608110189
1718098564.609117,,,,-1.584987402,-1.584630728,133111.000000000,1718098564.609117270
1718098564.610124,,,,-1.569817781,-1.572562337,133112.000000000,1718098564.610124350
1718098564.610749,0.319101572,27034.000000000,1718098564.610748529,,,,
1718098564.611131,,,,-1.551979780,-1.553858757,133113.000000000,1718098564.611131430
1718098564.612139,,,,-1.561403632,-1.562032580,133114.000000000,1718098564.612138510
1718098564.613146,,,,-1.566884875,-1.567922473,133115.000000000,1718098564.613145590
