__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1718099330.788739,0.182757095,15663.000000000,1718099330.788739443,,,,
1718099330.788816,,,,3.524421930,3.525144339,77719.000000000,1718099330.788816214
1718099330.789823,,,,3.520383120,3.522331476,77720.000000000,1718099330.789823294
1718099330.790830,,,,3.524806499,3.524831772,77721.000000000,1718099330.790830374
1718099330.791837,,,,3.525551796,3.529014826,77722.000000000,1718099330.791837454
1718099330.792845,,,,3.529855013,3.533582449,77723.000000000,1718099330.792844534
1718099330.793852,,,,3.531513691,3.531683445,77724.000000000,1718099330.793851614
1718099330.794859,,,,3.524542093,3.523822069,77725.000000000,1718099330.794858694
1718099330.795866,,,,3.519253016,3.522740364,77726.000000000,1718099330.795865774
1718099330.796873,,,,3.521416664,3.525769472,77727.000000000,1718099330.796872854
1718099330.797880,,,,3.527907610,3.530673742,77728.000000000,1718099330.797879934
1718099330.798887,,,,3.530335903,3.532596827,77729.000000000,1718099330.798887014
1718099330.799894,,,,3.527619123,3.528413773,77730.000000000,1718099330.799894094
1718099330.800901,,,,3.526849985,3.529856205,77731.000000000,1718099330.800901175
1718099330.801908,,,,3.528196096,3.533870935,77732.000000000,1718099330.801908255
1718099330.802915,,,,3.530576229,3.536683798,77733.000000000,1718099330.802915335
1718099330.803922,,,,3.529614687,3.534015179,77734.000000000,1718099330.803922415
1718099330.804929,,,,3.529614687,3.530216932,77735.000000000,1718099330.804929495
1718099330.805937,,,,3.526729822,3.527187824,77736.000000000,1718099330.805936575
1718099330.806944,,,,3.520839691,3.522932529,77737.000000000,1718099330.806943655
1718099330.807951,,,,3.519998312,3.521057367,77738.000000000,1718099330.807950735
1718099330.808958,,,,3.524758339,3.525216341,77739.000000000,1718099330.808957815
1718099330.809965,,,,3.528989553,3.529303312,77740.000000000,1718099330.809964895
1718099330.810972,,,,3.522570610,3.522042990,77741.000000000,1718099330.810971975
1718099330.811979,,,,3.520479202,3.520913124,77742.000000000,1718099330.811979055
1718099330.812986,,,,3.521200418,3.523269176,77743.000000000,1718099330.812986135
1718099330.813993,,,,3.517882824,3.520889044,77744.000000000,1718099330.813993216
1718099330.815000,,,,3.522402525,3.523846149,77745.000000000,1718099330.815000296
1718099330.816007,,,,3.527643204,3.531322718,77746.000000000,1718099330.816007376
1718099330.817014,,,,3.542644501,3.543126583,77747.000000000,1718099330.817014456
1718099330.818022,,,,3.553871393,3.553848743,77748.000000000,1718099330.818021536
1718099330.819029,,,,3.546346903,3.546732664,77749.000000000,1718099330.819028616
1718099330.820036,,,,3.539447069,3.541371584,77750.000000000,1718099330.820035696
1718099330.821043,,,,3.534110069,3.538871527,77751.000000000,1718099330.821042776
1718099330.822050,,,,3.532211065,3.534640312,77752.000000000,1718099330.822049856
1718099330.823057,,,,3.533821583,3.532813311,77753.000000000,1718099330.823056936
1718099330.824064,,,,3.534975529,3.533197880,77754.000000000,1718099330.824064016
1718099330.825071,,,,3.532355309,3.530745745,77755.000000000,1718099330.825071096
1718099330.826078,,,,3.527186394,3.530385256,77756.000000000,1718099330.826078176
1718099330.827085,,,,3.527907610,3.531346798,77757.000000000,1718099330.827085257
1718099330.828092,,,,3.529734850,3.535818338,77758.000000000,1718099330.828092337
1718099330.828739,0.218118325,15671.000000000,1718099330.828739405,,,,
1718099330.829099,,,,3.528100014,3.530793905,77759.000000000,1718099330.829099417
1718099330.830106,,,,3.526897907,3.528125286,77760.000000000,1718099330.830106497
1718099330.831114,,,,3.529013634,3.530673742,77761.000000000,1718099330.831113577
1718099330.832121,,,,3.527739525,3.530938148,77762.000000000,1718099330.832120657
1718099330.833128,,,,3.526561499,3.531202555,77763.000000000,1718099330.833127737
