__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1718101520.012440,,,,0.092712052,0.092140511,77342.000000000,1718101520.012440443
1718101520.013448,,,,0.089514658,0.092453040,77343.000000000,1718101520.013447523
1718101520.014455,,,,0.096173890,0.099064186,77344.000000000,1718101520.014454603
1718101520.015462,,,,0.092038915,0.092092432,77345.000000000,1718101520.015461683
1718101520.016126,1.016192555,16184.000000000,1718101520.016125679,,,,
1718101520.016469,,,,0.085884541,0.085673608,77346.000000000,1718101520.016468763
1718101520.017476,,,,0.078936823,0.080096200,77347.000000000,1718101520.017475843
1718101520.018483,,,,0.079537839,0.080384687,77348.000000000,1718101520.018482924
1718101520.019490,,,,0.089875266,0.089880697,77349.000000000,1718101520.019490004
1718101520.020497,,,,0.098385625,0.097645797,77350.000000000,1718101520.020497084
1718101520.021126,1.104548573,16185.000000000,1718101520.021125555,,,,
1718101520.021504,,,,0.106703646,0.104305021,77351.000000000,1718101520.021504164
1718101520.022511,,,,0.114949554,0.113776997,77352.000000000,1718101520.022511244
1718101520.023518,,,,0.110117406,0.110002637,77353.000000000,1718101520.023518324
1718101520.024525,,,,0.092904374,0.091467373,77354.000000000,1718101520.024525404
1718101520.025532,,,,0.082615025,0.080793373,77355.000000000,1718101520.025532484
1718101520.026126,1.281241775,16186.000000000,1718101520.026125669,,,,
1718101520.026540,,,,0.087591417,0.087116040,77356.000000000,1718101520.026539564
1718101520.027547,,,,0.089851230,0.089279689,77357.000000000,1718101520.027546644
1718101520.028554,,,,0.084057458,0.083678238,77358.000000000,1718101520.028553724
1718101520.029561,,,,0.083143920,0.083630159,77359.000000000,1718101520.029560804
1718101520.030568,,,,0.087351009,0.089039281,77360.000000000,1718101520.030567884
1718101520.031126,1.334252596,16187.000000000,1718101520.031125546,,,,
1718101520.031575,,,,0.092038915,0.095217697,77361.000000000,1718101520.031574965
1718101520.032582,,,,0.095596917,0.095289819,77362.000000000,1718101520.032582045
1718101520.033589,,,,0.095620960,0.096179321,77363.000000000,1718101520.033589125
1718101520.034596,,,,0.094947822,0.094881132,77364.000000000,1718101520.034596205
1718101520.035603,,,,0.094587214,0.095073454,77365.000000000,1718101520.035603285
1718101520.036126,1.457928777,16188.000000000,1718101520.036125660,,,,
1718101520.036610,,,,0.100501187,0.099424794,77366.000000000,1718101520.036610365
1718101520.037617,,,,0.105886273,0.106805243,77367.000000000,1718101520.037617445
1718101520.038625,,,,0.106126674,0.106035948,77368.000000000,1718101520.038624525
1718101520.039632,,,,0.106294960,0.103631891,77369.000000000,1718101520.039631605
1718101520.040639,,,,0.107713349,0.108464040,77370.000000000,1718101520.040638685
1718101520.041126,1.563924432,16189.000000000,1718101520.041125536,,,,
1718101520.041646,,,,0.108987503,0.111228704,77371.000000000,1718101520.041645765
1718101520.042653,,,,0.113603286,0.113921240,77372.000000000,1718101520.042652845
1718101520.043660,,,,0.119228773,0.117214799,77373.000000000,1718101520.043659925
1718101520.044667,,,,0.121152014,0.120989159,77374.000000000,1718101520.044667006
1718101520.045674,,,,0.117473811,0.116613783,77375.000000000,1718101520.045674086
1718101520.046126,1.634593368,16190.000000000,1718101520.046125650,,,,
1718101520.046681,,,,0.111776203,0.112599015,77376.000000000,1718101520.046681166
1718101520.047688,,,,0.118940286,0.117911972,77377.000000000,1718101520.047688246
1718101520.048695,,,,0.120599084,0.118873596,77378.000000000,1718101520.048695326
1718101520.049702,,,,0.110550135,0.109954551,77379.000000000,1718101520.049702406
1718101520.050709,,,,0.110381849,0.108391918,77380.000000000,1718101520.050709486
1718101520.051126,1.846570373,16191.000000000,1718101520.051125526,,,,
1718101520.051717,,,,0.109492354,0.109137177,77381.000000000,1718101520.051716566
1718101520.052724,,,,0.111295395,0.110291123,77382.000000000,1718101520.052723646
1718101520.053731,,,,0.100717552,0.100194089,77383.000000000,1718101520.053730726
1718101520.054738,,,,0.099323206,0.100819148,77384.000000000,1718101520.054737806
1718101520.055745,,,,0.124517694,0.123080686,77385.000000000,1718101520.055744886
1718101520.056126,1.970217347,16192.000000000,1718101520.056125641,,,,
1718101520.056752,,,,0.146250337,0.144452736,77386.000000000,1718101520.056751966
1718101520.057759,,,,0.143125072,0.141904429,77387.000000000,1718101520.057759047
1718101520.058766,,,,0.135311902,0.135774091,77388.000000000,1718101520.058766127
1718101520.059773,,,,0.111607917,0.113728918,77389.000000000,1718101520.059773207
1718101520.060780,,,,0.090548404,0.090770200,77390.000000000,1718101520.060780287
1718101520.061126,2.111518621,16193.000000000,1718101520.061125517,,,,
1718101520.061787,,,,0.095717125,0.094328202,77391.000000000,1718101520.061787367
1718101520.062794,,,,0.089033850,0.088077657,77392.000000000,1718101520.062794447
1718101520.063802,,,,0.085788377,0.083005100,77393.000000000,1718101520.063801527
1718101520.064809,,,,0.091365784,0.089207567,77394.000000000,1718101520.064808607
1718101520.065816,,,,0.082326539,0.080504887,77395.000000000,1718101520.065815687
1718101520.066126,2.235150576,16194.000000000,1718101520.066125631,,,,
1718101520.066823,,,,0.101991706,0.099593081,77396.000000000,1718101520.066822767
1718101520.067830,,,,0.134686843,0.134115294,77397.000000000,1718101520.067829847
1718101520.068837,,,,0.148678437,0.152025506,77398.000000000,1718101520.068836927
1718101520.069844,,,,0.123868600,0.122936442,77399.000000000,1718101520.069844007
1718101520.070851,,,,0.096919149,0.093030013,77400.000000000,1718101520.070851088
