__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1718091048.943029,,,,7.795740128,7.797826767,101719.000000000,1718091048.943028688
1718091048.944036,,,,7.794874668,7.799269199,101720.000000000,1718091048.944035769
1718091048.945043,,,,7.794538021,7.800423145,101721.000000000,1718091048.945042849
1718091048.945119,0.814452291,20498.000000000,1718091048.945118666,,,,
1718091048.946050,,,,7.793720722,7.797322273,101722.000000000,1718091048.946049929
1718091048.947057,,,,7.796821594,7.800182819,101723.000000000,1718091048.947057009
1718091048.948064,,,,7.809539318,7.812924385,101724.000000000,1718091048.948064089
1718091048.949071,,,,7.817015648,7.820545197,101725.000000000,1718091048.949071169
1718091048.950078,,,,7.819708347,7.823213577,101726.000000000,1718091048.950078249
1718091048.950119,0.832123816,20499.000000000,1718091048.950118542,,,,
1718091048.951085,,,,7.820765972,7.825521469,101727.000000000,1718091048.951085329
1718091048.952092,,,,7.820357323,7.824656010,101728.000000000,1718091048.952092409
1718091048.953099,,,,7.815429211,7.817612171,101729.000000000,1718091048.953099489
1718091048.954107,,,,7.812087536,7.816482544,101730.000000000,1718091048.954106569
1718091048.955114,,,,7.814924240,7.817179680,101731.000000000,1718091048.955113649
1718091048.955119,0.814452291,20500.000000000,1718091048.955118656,,,,
1718091048.955536,0.814452291,20501.000000000,1718091048.955535650,,,,
1718091048.956121,,,,7.815404892,7.816818714,101732.000000000,1718091048.956120729
1718091048.957128,,,,7.816775322,7.817828655,101733.000000000,1718091048.957127810
1718091048.958135,,,,7.821126938,7.824391842,101734.000000000,1718091048.958134890
1718091048.959142,,,,7.818650723,7.821122169,101735.000000000,1718091048.959141970
1718091048.960149,,,,7.805187702,7.809895039,101736.000000000,1718091048.960149050
1718091048.960536,0.849803329,20502.000000000,1718091048.960535765,,,,
1718091048.961156,,,,7.797543049,7.803476334,101737.000000000,1718091048.961156130
1718091048.962163,,,,7.791508675,7.796720982,101738.000000000,1718091048.962163210
1718091048.963170,,,,7.788527966,7.793379307,101739.000000000,1718091048.963170290
1718091048.964177,,,,7.785234451,7.788066387,101740.000000000,1718091048.964177370
1718091048.965184,,,,7.784825325,7.787609577,101741.000000000,1718091048.965184450
1718091048.965536,0.796780646,20503.000000000,1718091048.965535641,,,,
1718091048.966192,,,,7.786652565,7.790110111,101742.000000000,1718091048.966191530
1718091048.967199,,,,7.795283318,7.795567036,101743.000000000,1718091048.967198610
1718091048.968206,,,,7.800427914,7.799822330,101744.000000000,1718091048.968205690
1718091048.969213,,,,7.803625107,7.806842327,101745.000000000,1718091048.969212770
1718091048.970220,,,,7.812135696,7.814006329,101746.000000000,1718091048.970219851
1718091048.970536,0.885145605,20504.000000000,1718091048.970535755,,,,
1718091048.971227,,,,7.817183971,7.820425034,101747.000000000,1718091048.971226931
1718091048.972234,,,,7.818265915,7.821506977,101748.000000000,1718091048.972234011
1718091048.973241,,,,7.825429916,7.828286171,101749.000000000,1718091048.973241091
1718091048.974248,,,,7.830646992,7.832589626,101750.000000000,1718091048.974248171
1718091048.975255,,,,7.831127644,7.834104061,101751.000000000,1718091048.975255251
1718091048.975536,0.938157976,20505.000000000,1718091048.975535631,,,,
1718091048.976262,,,,7.832954884,7.834921360,101752.000000000,1718091048.976262331
1718091048.977269,,,,7.830767155,7.831627846,101753.000000000,1718091048.977269411
1718091048.978276,,,,7.825117588,7.827300549,101754.000000000,1718091048.978276491
1718091048.979284,,,,7.836897373,7.842301846,101755.000000000,1718091048.979283571
1718091048.980291,,,,7.844590187,7.848095894,101756.000000000,1718091048.980290651
1718091048.980536,0.973498881,20506.000000000,1718091048.980535746,,,,
1718091048.981298,,,,7.879617214,7.883483410,101757.000000000,1718091048.981297731
1718091048.982305,,,,7.946281910,7.950195789,101758.000000000,1718091048.982304811
1718091048.983312,,,,7.960826397,7.965125084,101759.000000000,1718091048.983311892
1718091048.984319,,,,7.945271969,7.948056221,101760.000000000,1718091048.984318972
1718091048.985326,,,,7.919067860,7.921275139,101761.000000000,1718091048.985326052
1718091048.985536,1.008847237,20507.000000000,1718091048.985535622,,,,
1718091048.986333,,,,7.874640942,7.877545357,101762.000000000,1718091048.986333132
1718091048.987340,,,,7.811125755,7.814535141,101763.000000000,1718091048.987340212
1718091048.988347,,,,7.798793316,7.799509525,101764.000000000,1718091048.988347292
1718091048.989354,,,,7.803961754,7.805255413,101765.000000000,1718091048.989354372
1718091048.990361,,,,7.828411102,7.832806110,101766.000000000,1718091048.990361452
1718091048.990536,1.167879701,20508.000000000,1718091048.990535736,,,,
1718091048.991369,,,,7.855600834,7.862039089,101767.000000000,1718091048.991368532
1718091048.992376,,,,7.867693424,7.871583462,101768.000000000,1718091048.992375612
1718091048.993383,,,,7.837498188,7.838888168,101769.000000000,1718091048.993382692
1718091048.994390,,,,7.811198235,7.814558983,101770.000000000,1718091048.994389772
1718091048.995397,,,,7.803961754,7.807683468,101771.000000000,1718091048.995396852
1718091048.995536,1.344567776,20509.000000000,1718091048.995535612,,,,
1718091048.996404,,,,7.813169479,7.816698551,101772.000000000,1718091048.996403933
1718091048.997411,,,,7.827545643,7.829391956,101773.000000000,1718091048.997411013
1718091048.998418,,,,7.833411694,7.837037086,101774.000000000,1718091048.998418093
1718091048.999425,,,,7.833603859,7.837277412,101775.000000000,1718091048.999425173
1718091049.000432,,,,7.826992512,7.828262329,101776.000000000,1718091049.000432253
1718091049.001439,,,,7.815814018,7.821939468,101777.000000000,1718091049.001439333
1718091049.002446,,,,7.805091858,7.810568333,101778.000000000,1718091049.002446413
1718091049.003453,,,,7.782421589,7.785373688,101779.000000000,1718091049.003453493
1718091049.004461,,,,7.763982296,7.768232822,101780.000000000,1718091049.004460573
1718091049.005468,,,,7.771723270,7.775469303,101781.000000000,1718091049.005467653
1718091049.005536,1.750901699,20511.000000000,1718091049.005535603,,,,
1718091049.006475,,,,7.798071861,7.799077034,101782.000000000,1718091049.006474733
1718091049.007482,,,,7.831824780,7.836892605,101783.000000000,1718091049.007481813
1718091049.008489,,,,7.851922512,7.855548382,101784.000000000,1718091049.008488894
1718091049.009496,,,,7.887117863,7.889301300,101785.000000000,1718091049.009495974
1718091049.010503,,,,7.914812565,7.917380333,101786.000000000,1718091049.010503054
1718091049.010536,2.121838093,20512.000000000,1718091049.010535717,,,,
1718091049.011510,,,,7.921760559,7.927573681,101787.000000000,1718091049.011510134
1718091049.012517,,,,7.925607204,7.930049896,101788.000000000,1718091049.012517214
1718091049.013524,,,,7.879088402,7.884012222,101789.000000000,1718091049.013524294
1718091049.014531,,,,7.819491863,7.825569630,101790.000000000,1718091049.014531374
1718091049.015536,2.616313219,20513.000000000,1718091049.015535593,,,,
1718091049.015538,,,,7.831223965,7.837614059,101791.000000000,1718091049.015538454
1718091049.016546,,,,7.850552559,7.854731083,101792.000000000,1718091049.016545534
1718091049.017553,,,,7.841416836,7.844177246,101793.000000000,1718091049.017552614
1718091049.018560,,,,7.868630886,7.869732380,101794.000000000,1718091049.018559694
1718091049.019567,,,,7.879881859,7.879252434,101795.000000000,1718091049.019566774
1718091049.020536,3.198955059,20514.000000000,1718091049.020535707,,,,
1718091049.020574,,,,7.887694836,7.888002872,101796.000000000,1718091049.020573854
1718091049.021581,,,,7.885603428,7.887979031,101797.000000000,1718091049.021580935
1718091049.022588,,,,7.856009483,7.858385086,101798.000000000,1718091049.022588015
1718091049.023595,,,,7.844902992,7.847951412,101799.000000000,1718091049.023595095
1718091049.024602,,,,7.859831810,7.863698006,101800.000000000,1718091049.024602175
1718091049.025536,4.010853767,20515.000000000,1718091049.025535583,,,,
1718091049.025609,,,,7.907288074,7.908773899,101801.000000000,1718091049.025609255
1718091049.026616,,,,7.983183861,7.982337952,101802.000000000,1718091049.026616335
1718091049.027623,,,,8.049127579,8.051238060,101803.000000000,1718091049.027623415
1718091049.028630,,,,8.049175262,8.051527023,101804.000000000,1718091049.028630495
1718091049.029638,,,,7.966235638,7.968875408,101805.000000000,1718091049.029637575
1718091049.030536,5.157578945,20516.000000000,1718091049.030535698,,,,
1718091049.030645,,,,7.848003864,7.848432064,101806.000000000,1718091049.030644655
1718091049.031652,,,,7.806221485,7.810400009,101807.000000000,1718091049.031651735
1718091049.032659,,,,7.746288776,7.750779629,101808.000000000,1718091049.032658815
1718091049.033666,,,,7.739124298,7.742894173,101809.000000000,1718091049.033665895
1718091049.034673,,,,7.783215046,7.786840439,101810.000000000,1718091049.034672976
1718091049.035536,6.673854351,20517.000000000,1718091049.035535574,,,,
