__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1718096646.687659,,,,-0.800626397,-0.800840735,138499.000000000,1718096646.687658548
1718096646.688666,,,,-0.798030019,-0.799590647,138500.000000000,1718096646.688665628
1718096646.689673,,,,-0.800698519,-0.798460722,138501.000000000,1718096646.689672709
1718096646.690680,,,,-0.800554276,-0.799879134,138502.000000000,1718096646.690679789
1718096646.691687,,,,-0.795049012,-0.795551836,138503.000000000,1718096646.691686869
1718096646.692640,1.422540784,28396.000000000,1718096646.692639589,,,,
1718096646.692694,,,,-0.791827559,-0.792907357,138504.000000000,1718096646.692693949
1718096646.693701,,,,-0.787884951,-0.788219452,138505.000000000,1718096646.693701029
1718096646.694708,,,,-0.789014816,-0.786969304,138506.000000000,1718096646.694708109
1718096646.695715,,,,-0.790505350,-0.791368783,138507.000000000,1718096646.695715189
1718096646.696722,,,,-0.791130424,-0.792162120,138508.000000000,1718096646.696722269
1718096646.697639,1.387199044,28397.000000000,1718096646.697639465,,,,
1718096646.697729,,,,-0.786466539,-0.787065506,138509.000000000,1718096646.697729349
1718096646.698736,,,,-0.789495647,-0.788940668,138510.000000000,1718096646.698736429
1718096646.699744,,,,-0.790457249,-0.789806128,138511.000000000,1718096646.699743509
1718096646.700751,,,,-0.791899681,-0.791176438,138512.000000000,1718096646.700750589
1718096646.701758,,,,-0.794544160,-0.794253647,138513.000000000,1718096646.701757669
1718096646.702640,1.404865861,28398.000000000,1718096646.702639580,,,,
1718096646.702765,,,,-0.795698106,-0.794013202,138514.000000000,1718096646.702764750
1718096646.703772,,,,-0.795385599,-0.794854641,138515.000000000,1718096646.703771830
1718096646.704779,,,,-0.794976890,-0.796994269,138516.000000000,1718096646.704778910
1718096646.705786,,,,-0.801467836,-0.800552249,138517.000000000,1718096646.705785990
1718096646.706793,,,,-0.801347613,-0.801922560,138518.000000000,1718096646.706793070
1718096646.707639,1.440207362,28399.000000000,1718096646.707639456,,,,
1718096646.707800,,,,-0.804545045,-0.803941965,138519.000000000,1718096646.707800150
1718096646.708807,,,,-0.802597761,-0.802836120,138520.000000000,1718096646.708807230
1718096646.709814,,,,-0.799063802,-0.801730216,138521.000000000,1718096646.709814310
1718096646.710821,,,,-0.798030019,-0.799470425,138522.000000000,1718096646.710821390
1718096646.711828,,,,-0.793943167,-0.793868959,138523.000000000,1718096646.711828470
1718096646.711829,1.387199044,28401.000000000,1718096646.711828709,,,,
1718096646.712640,1.404865861,28400.000000000,1718096646.712639570,,,,
1718096646.712836,,,,-0.787957072,-0.790503323,138524.000000000,1718096646.712835550
1718096646.713843,,,,-0.787452221,-0.789181054,138525.000000000,1718096646.713842630
1718096646.714850,,,,-0.785480857,-0.784829736,138526.000000000,1718096646.714849710
1718096646.715857,,,,-0.781153560,-0.780406237,138527.000000000,1718096646.715856791
1718096646.716829,1.440207362,28402.000000000,1718096646.716828823,,,,
1718096646.716864,,,,-0.780408323,-0.778987885,138528.000000000,1718096646.716863871
1718096646.717871,,,,-0.779110134,-0.779733121,138529.000000000,1718096646.717870951
1718096646.718878,,,,-0.785120249,-0.786079824,138530.000000000,1718096646.718878031
1718096646.719885,,,,-0.788702309,-0.789806128,138531.000000000,1718096646.719885111
1718096646.720892,,,,-0.792356491,-0.794109404,138532.000000000,1718096646.720892191
1718096646.721829,1.422540784,28403.000000000,1718096646.721828699,,,,
1718096646.721899,,,,-0.799135923,-0.798003972,138533.000000000,1718096646.721899271
1718096646.722906,,,,-0.802862167,-0.802018702,138534.000000000,1718096646.722906351
1718096646.723913,,,,-0.797356904,-0.797042310,138535.000000000,1718096646.723913431
1718096646.724921,,,,-0.793558478,-0.790335000,138536.000000000,1718096646.724920511
1718096646.725928,,,,-0.794207573,-0.793748796,138537.000000000,1718096646.725927591
1718096646.726829,1.440207362,28404.000000000,1718096646.726828814,,,,
1718096646.726935,,,,-0.800193667,-0.798653066,138538.000000000,1718096646.726934671
1718096646.727942,,,,-0.801467836,-0.801585972,138539.000000000,1718096646.727941751
1718096646.728949,,,,-0.805338383,-0.803268850,138540.000000000,1718096646.728948832
1718096646.729956,,,,-0.813223660,-0.814808309,138541.000000000,1718096646.729955912
1718096646.730963,,,,-0.810218573,-0.809134722,138542.000000000,1718096646.730962992
1718096646.731829,1.440207362,28405.000000000,1718096646.731828690,,,,
1718096646.731970,,,,-0.808511734,-0.808004797,138543.000000000,1718096646.731970072
1718096646.732977,,,,-0.810290694,-0.811009884,138544.000000000,1718096646.732977152
1718096646.733984,,,,-0.809353113,-0.812019587,138545.000000000,1718096646.733984232
1718096646.734991,,,,-0.801107228,-0.801634073,138546.000000000,1718096646.734991312
1718096646.735998,,,,-0.794688404,-0.793340087,138547.000000000,1718096646.735998392
1718096646.736829,1.404865861,28406.000000000,1718096646.736828804,,,,
1718096646.737005,,,,-0.792741120,-0.788892567,138548.000000000,1718096646.737005472
1718096646.738013,,,,-0.790216863,-0.791128337,138549.000000000,1718096646.738012552
1718096646.739020,,,,-0.787812829,-0.789397418,138550.000000000,1718096646.739019632
1718096646.740027,,,,-0.785120249,-0.787281871,138551.000000000,1718096646.740026712
1718096646.741034,,,,-0.792043924,-0.794397891,138552.000000000,1718096646.741033792
1718096646.741829,1.422540784,28407.000000000,1718096646.741828680,,,,
