__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1718094993.571016,,,,4.246138096,4.250568390,147482.000000000,1718094993.571016312
1718094993.572023,,,,4.249191284,4.248885632,147483.000000000,1718094993.572023392
1718094993.573030,,,,4.248157501,4.249486446,147484.000000000,1718094993.573030472
1718094993.574038,,,,4.244791985,4.246769905,147485.000000000,1718094993.574037552
1718094993.575045,,,,4.243950367,4.245327473,147486.000000000,1718094993.575044632
1718094993.576052,,,,4.246643066,4.246913910,147487.000000000,1718094993.576051712
1718094993.577059,,,,4.246643066,4.248548985,147488.000000000,1718094993.577058792
1718094993.578066,,,,4.252364635,4.254919529,147489.000000000,1718094993.578065872
1718094993.578900,0.889457703,29709.000000000,1718094993.578899860,,,,
1718094993.579073,,,,4.257989883,4.259511471,147490.000000000,1718094993.579072952
1718094993.580080,,,,4.260682583,4.265016556,147491.000000000,1718094993.580080032
1718094993.581087,,,,4.265394688,4.267901421,147492.000000000,1718094993.581087112
1718094993.582094,,,,4.264432907,4.265786171,147493.000000000,1718094993.582094193
1718094993.583101,,,,4.269649506,4.272541523,147494.000000000,1718094993.583101273
1718094993.583900,0.889457703,29710.000000000,1718094993.583899975,,,,
1718094993.584108,,,,4.273904800,4.276964664,147495.000000000,1718094993.584108353
1718094993.585115,,,,4.275155067,4.277974606,147496.000000000,1718094993.585115433
1718094993.586123,,,,4.276309013,4.277926445,147497.000000000,1718094993.586122513
1718094993.587130,,,,4.276044369,4.277157307,147498.000000000,1718094993.587129593
1718094993.588137,,,,4.271380424,4.274199963,147499.000000000,1718094993.588136673
1718094993.588900,0.854107320,29711.000000000,1718094993.588899851,,,,
1718094993.589144,,,,4.260754585,4.260977745,147500.000000000,1718094993.589143753
1718094993.590151,,,,4.249311447,4.249846935,147501.000000000,1718094993.590150833
1718094993.591158,,,,4.243349552,4.243788719,147502.000000000,1718094993.591157913
1718094993.592165,,,,4.244935989,4.244630337,147503.000000000,1718094993.592164993
1718094993.593172,,,,4.245176315,4.246289253,147504.000000000,1718094993.593172073
1718094993.593900,0.942469954,29712.000000000,1718094993.593899965,,,,
1718094993.594179,,,,4.246643066,4.245952606,147505.000000000,1718094993.594179153
1718094993.595186,,,,4.249215126,4.249221802,147506.000000000,1718094993.595186234
1718094993.596193,,,,4.246426582,4.247058392,147507.000000000,1718094993.596193314
1718094993.597200,,,,4.251306534,4.253164768,147508.000000000,1718094993.597200394
1718094993.598207,,,,4.254167557,4.258910179,147509.000000000,1718094993.598207474
1718094993.598900,1.013159156,29713.000000000,1718094993.598899841,,,,
1718094993.599215,,,,4.259191990,4.261458874,147510.000000000,1718094993.599214554
1718094993.600222,,,,4.260730743,4.261867523,147511.000000000,1718094993.600221634
1718094993.601229,,,,4.259865284,4.259366989,147512.000000000,1718094993.601228714
1718094993.602236,,,,4.259263992,4.262588501,147513.000000000,1718094993.602235794
1718094993.603243,,,,4.265635014,4.269656658,147514.000000000,1718094993.603242874
1718094993.603900,1.030828953,29714.000000000,1718094993.603899956,,,,
1718094993.604250,,,,4.269265175,4.270401955,147515.000000000,1718094993.604249954
1718094993.605257,,,,4.269697666,4.270113468,147516.000000000,1718094993.605257034
1718094993.606264,,,,4.271476746,4.271651745,147517.000000000,1718094993.606264114
1718094993.607271,,,,4.273496151,4.271267414,147518.000000000,1718094993.607271194
1718094993.608278,,,,4.263447285,4.262156010,147519.000000000,1718094993.608278275
1718094993.608900,0.977810740,29715.000000000,1718094993.608899832,,,,
1718094993.609285,,,,4.258086205,4.259030342,147520.000000000,1718094993.609285355
1718094993.610292,,,,4.256451607,4.256650448,147521.000000000,1718094993.610292435
1718094993.611300,,,,4.252893448,4.253116608,147522.000000000,1718094993.611299515
1718094993.612307,,,,4.252124310,4.254847527,147523.000000000,1718094993.612306595
1718094993.613314,,,,4.253037453,4.255400658,147524.000000000,1718094993.613313675
1718094993.613900,1.048498750,29716.000000000,1718094993.613899946,,,,
1718094993.614321,,,,4.250489235,4.253621578,147525.000000000,1718094993.614320755
