__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1718092171.755388,,,,-0.505186617,-0.505378187,55604.000000000,1718092171.755388498
1718092171.756396,,,,-0.503263354,-0.502373099,55605.000000000,1718092171.756395578
1718092171.757403,,,,-0.507398367,-0.508118808,55606.000000000,1718092171.757402658
1718092171.758410,,,,-0.506845415,-0.507950485,55607.000000000,1718092171.758409739
1718092171.759417,,,,-0.491844118,-0.492444336,55608.000000000,1718092171.759416819
1718092171.760375,0.510571957,11235.000000000,1718092171.760375023,,,,
1718092171.760424,,,,-0.468043983,-0.471144438,55609.000000000,1718092171.760423899
1718092171.761431,,,,-0.461793453,-0.462057084,55610.000000000,1718092171.761430979
1718092171.762438,,,,-0.448402852,-0.449099243,55611.000000000,1718092171.762438059
1718092171.763445,,,,-0.439700186,-0.441165864,55612.000000000,1718092171.763445139
1718092171.764452,,,,-0.437151879,-0.435396135,55613.000000000,1718092171.764452219
1718092171.765375,0.492897838,11236.000000000,1718092171.765375137,,,,
1718092171.765459,,,,-0.444388092,-0.441406280,55614.000000000,1718092171.765459299
1718092171.766466,,,,-0.458499879,-0.456984550,55615.000000000,1718092171.766466379
1718092171.767473,,,,-0.468885392,-0.469846249,55616.000000000,1718092171.767473459
1718092171.768481,,,,-0.482828915,-0.484775424,55617.000000000,1718092171.768480539
1718092171.769488,,,,-0.494127959,-0.496074468,55618.000000000,1718092171.769487619
1718092171.770375,0.528245926,11237.000000000,1718092171.770375013,,,,
1718092171.770495,,,,-0.471169263,-0.473933131,55619.000000000,1718092171.770494699
1718092171.771502,,,,-0.437488437,-0.441045672,55620.000000000,1718092171.771501780
1718092171.772509,,,,-0.451528132,-0.454340070,55621.000000000,1718092171.772508860
1718092171.773516,,,,-0.437560558,-0.439266652,55622.000000000,1718092171.773515940
1718092171.774523,,,,-0.401740164,-0.401066244,55623.000000000,1718092171.774523020
1718092171.775375,0.616613686,11238.000000000,1718092171.775375128,,,,
1718092171.775530,,,,-0.386714816,-0.386425555,55624.000000000,1718092171.775530100
1718092171.776537,,,,-0.348057628,-0.348609775,55625.000000000,1718092171.776537180
1718092171.777544,,,,-0.315434605,-0.318486989,55626.000000000,1718092171.777544260
1718092171.778551,,,,-0.322358280,-0.323655695,55627.000000000,1718092171.778551340
1718092171.779558,,,,-0.370848060,-0.372962832,55628.000000000,1718092171.779558420
1718092171.780375,0.634294868,11239.000000000,1718092171.780375004,,,,
1718092171.780566,,,,-0.435661376,-0.436910689,55629.000000000,1718092171.780565500
1718092171.781573,,,,-0.496051222,-0.495040715,55630.000000000,1718092171.781572580
1718092171.782580,,,,-0.565312028,-0.566368997,55631.000000000,1718092171.782579660
1718092171.783587,,,,-0.632385135,-0.631855428,55632.000000000,1718092171.783586740
1718092171.784298,0.828697801,11241.000000000,1718092171.784297943,,,,
1718092171.784594,,,,-0.629332006,-0.628032982,55633.000000000,1718092171.784593821
1718092171.785375,0.722658336,11240.000000000,1718092171.785375118,,,,
1718092171.785601,,,,-0.571706772,-0.573821604,55634.000000000,1718092171.785600901
1718092171.786608,,,,-0.518889725,-0.521605551,55635.000000000,1718092171.786607981
1718092171.787615,,,,-0.468019933,-0.472082019,55636.000000000,1718092171.787615061
1718092171.788622,,,,-0.437560558,-0.439915746,55637.000000000,1718092171.788622141
1718092171.789298,1.058431029,11242.000000000,1718092171.789298058,,,,
1718092171.789629,,,,-0.424530596,-0.424674064,55638.000000000,1718092171.789629221
1718092171.790636,,,,-0.391330600,-0.393301159,55639.000000000,1718092171.790636301
1718092171.791643,,,,-0.352649361,-0.352552414,55640.000000000,1718092171.791643381
1718092171.792650,,,,-0.332984209,-0.330723614,55641.000000000,1718092171.792650461
1718092171.793658,,,,-0.300265044,-0.299086273,55642.000000000,1718092171.793657541
1718092171.794298,1.358809829,11243.000000000,1718092171.794297934,,,,
1718092171.794665,,,,-0.302621007,-0.302451938,55643.000000000,1718092171.794664621
