__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1718100445.311695,,,,14.850257874,14.859086990,23727.000000000,1718100445.311694622
1718100445.312702,,,,14.850017548,14.856058121,23728.000000000,1718100445.312701702
1718100445.313709,,,,14.850065231,14.857452393,23729.000000000,1718100445.313708782
1718100445.314716,,,,14.851002693,14.858726501,23730.000000000,1718100445.314715862
1718100445.315723,,,,14.849848747,14.852643967,23731.000000000,1718100445.315722942
1718100445.316730,,,,14.841818810,14.847114563,23732.000000000,1718100445.316730022
1718100445.317737,,,,14.837684631,14.845864296,23733.000000000,1718100445.317737103
1718100445.318744,,,,14.833068848,14.841176987,23734.000000000,1718100445.318744183
1718100445.319751,,,,14.829798698,14.836657524,23735.000000000,1718100445.319751263
1718100445.320758,,,,14.828837395,14.836272240,23736.000000000,1718100445.320758343
1718100445.321765,,,,14.832395554,14.839854240,23737.000000000,1718100445.321765423
1718100445.322773,,,,14.831746101,14.839902878,23738.000000000,1718100445.322772503
1718100445.323780,,,,14.833597183,14.841753960,23739.000000000,1718100445.323779583
1718100445.324787,,,,14.834751129,14.841537476,23740.000000000,1718100445.324786663
1718100445.325794,,,,14.835640907,14.842162132,23741.000000000,1718100445.325793743
1718100445.326801,,,,14.839295387,14.844422340,23742.000000000,1718100445.326800823
1718100445.327808,,,,14.842612267,14.846489906,23743.000000000,1718100445.327807903
1718100445.328815,,,,14.843838692,14.849687576,23744.000000000,1718100445.328814983
1718100445.329822,,,,14.844295502,14.848388672,23745.000000000,1718100445.329822063
1718100445.330829,,,,14.843214035,14.849638939,23746.000000000,1718100445.330829144
1718100445.331836,,,,14.841314316,14.846489906,23747.000000000,1718100445.331836224
1718100445.332843,,,,14.840160370,14.845552444,23748.000000000,1718100445.332843304
1718100445.333850,,,,14.838021278,14.845936775,23749.000000000,1718100445.333850384
1718100445.334857,,,,14.839510918,14.843941689,23750.000000000,1718100445.334857464
1718100445.335865,,,,14.836241722,14.841994286,23751.000000000,1718100445.335864544
1718100445.336872,,,,14.833549500,14.838845253,23752.000000000,1718100445.336871624
1718100445.337879,,,,14.830448151,14.835431099,23753.000000000,1718100445.337878704
1718100445.338886,,,,14.823908806,14.827713966,23754.000000000,1718100445.338885784
1718100445.339893,,,,14.817297935,14.821871758,23755.000000000,1718100445.339892864
1718100445.340900,,,,14.814436913,14.819179535,23756.000000000,1718100445.340899944
1718100445.341907,,,,14.816697121,14.820790291,23757.000000000,1718100445.341907024
1718100445.342914,,,,14.823331833,14.829372406,23758.000000000,1718100445.342914104
1718100445.343921,,,,14.824702263,14.830647469,23759.000000000,1718100445.343921185
1718100445.344928,,,,14.825976372,14.831439972,23760.000000000,1718100445.344928265
1718100445.345935,,,,14.826625824,14.832305908,23761.000000000,1718100445.345935345
1718100445.346942,,,,14.830448151,14.836488724,23762.000000000,1718100445.346942425
1718100445.347950,,,,14.831722260,14.836608887,23763.000000000,1718100445.347949505
1718100445.348957,,,,14.829438210,14.835647583,23764.000000000,1718100445.348956585
1718100445.349964,,,,14.828500748,14.834180832,23765.000000000,1718100445.349963665
1718100445.350971,,,,14.832612038,14.836224556,23766.000000000,1718100445.350970745
1718100445.351978,,,,14.841386795,14.844902992,23767.000000000,1718100445.351977825
1718100445.352985,,,,14.846386909,14.851490021,23768.000000000,1718100445.352984905
1718100445.353992,,,,14.848214149,14.852163315,23769.000000000,1718100445.353991985
1718100445.354999,,,,14.852806091,14.856442451,23770.000000000,1718100445.354999065
1718100445.356006,,,,14.849848747,14.855336189,23771.000000000,1718100445.356006145
1718100445.357013,,,,14.842997551,14.848869324,23772.000000000,1718100445.357013226
1718100445.358020,,,,14.834534645,14.843461037,23773.000000000,1718100445.358020306
1718100445.358690,0.199269846,4791.000000000,1718100445.358689547,,,,
1718100445.359027,,,,14.840617180,14.846273422,23774.000000000,1718100445.359027386
1718100445.360034,,,,14.845112801,14.852283478,23775.000000000,1718100445.360034466
1718100445.361042,,,,14.842516899,14.849591255,23776.000000000,1718100445.361041546
1718100445.362049,,,,14.838549614,14.843461037,23777.000000000,1718100445.362048626
1718100445.363056,,,,14.837251663,14.841464996,23778.000000000,1718100445.363055706
1718100445.363690,0.216946334,4792.000000000,1718100445.363689661,,,,
1718100445.364063,,,,14.840473175,14.843364716,23779.000000000,1718100445.364062786
1718100445.365070,,,,14.833909988,14.837811470,23780.000000000,1718100445.365069866
1718100445.366077,,,,14.832299232,14.838676453,23781.000000000,1718100445.366076946
