__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1718093277.199890,,,,-0.744819403,-0.744983494,70791.000000000,1718093277.199890137
1718093277.200897,,,,-0.750444889,-0.751330197,70792.000000000,1718093277.200897217
1718093277.201904,,,,-0.758426309,-0.759816527,70793.000000000,1718093277.201904297
1718093277.202911,,,,-0.766744375,-0.765994906,70794.000000000,1718093277.202911377
1718093277.203918,,,,-0.768908024,-0.770490527,70795.000000000,1718093277.203918457
1718093277.204926,,,,-0.774461389,-0.776188135,70796.000000000,1718093277.204925537
1718093277.205709,1.097342372,19356.000000000,1718093277.205709219,,,,
1718093277.205933,,,,-0.778716564,-0.778303683,70797.000000000,1718093277.205932617
1718093277.206940,,,,-0.778428078,-0.780202866,70798.000000000,1718093277.206939697
1718093277.207947,,,,-0.775471091,-0.778471947,70799.000000000,1718093277.207946777
1718093277.208954,,,,-0.775543213,-0.776837230,70800.000000000,1718093277.208953857
1718093277.209961,,,,-0.774437308,-0.772245467,70801.000000000,1718093277.209960938
1718093277.210709,1.115011573,19357.000000000,1718093277.210709095,,,,
1718093277.210968,,,,-0.765542328,-0.764480352,70802.000000000,1718093277.210968018
1718093277.211975,,,,-0.757969558,-0.757628798,70803.000000000,1718093277.211975098
1718093277.212982,,,,-0.755277038,-0.756090224,70804.000000000,1718093277.212982178
1718093277.213989,,,,-0.752127707,-0.752772629,70805.000000000,1718093277.213989258
1718093277.214996,,,,-0.746141613,-0.746449947,70806.000000000,1718093277.214996338
1718093277.215709,1.132680655,19358.000000000,1718093277.215709209,,,,
1718093277.216003,,,,-0.744074106,-0.744574785,70807.000000000,1718093277.216003418
1718093277.217010,,,,-0.744651079,-0.745151758,70808.000000000,1718093277.217010498
1718093277.218018,,,,-0.744458795,-0.744214177,70809.000000000,1718093277.218017578
1718093277.219025,,,,-0.746862829,-0.745464325,70810.000000000,1718093277.219024658
1718093277.220032,,,,-0.748713970,-0.747531772,70811.000000000,1718093277.220031738
1718093277.220709,1.203355551,19359.000000000,1718093277.220709085,,,,
1718093277.221039,,,,-0.750613153,-0.750705123,70812.000000000,1718093277.221038818
1718093277.222046,,,,-0.757080078,-0.753902555,70813.000000000,1718093277.222045898
1718093277.223053,,,,-0.763258457,-0.761643589,70814.000000000,1718093277.223052979
1718093277.224060,,,,-0.770614862,-0.770514548,70815.000000000,1718093277.224060059
1718093277.225067,,,,-0.775807619,-0.774505258,70816.000000000,1718093277.225067139
1718093277.225709,1.185687065,19360.000000000,1718093277.225709200,,,,
1718093277.226074,,,,-0.779678166,-0.779097021,70817.000000000,1718093277.226074219
1718093277.227081,,,,-0.779197335,-0.780371189,70818.000000000,1718093277.227081299
1718093277.228088,,,,-0.776961565,-0.777894974,70819.000000000,1718093277.228088379
1718093277.229095,,,,-0.775879741,-0.773880243,70820.000000000,1718093277.229095459
1718093277.230103,,,,-0.771913052,-0.771091521,70821.000000000,1718093277.230102539
1718093277.231110,,,,-0.770037889,-0.768735528,70822.000000000,1718093277.231109619
1718093277.232117,,,,-0.765349984,-0.761307001,70823.000000000,1718093277.232116699
1718093277.233124,,,,-0.759075403,-0.754383326,70824.000000000,1718093277.233123779
1718093277.234131,,,,-0.753281653,-0.753998697,70825.000000000,1718093277.234130859
1718093277.235138,,,,-0.747560024,-0.749286771,70826.000000000,1718093277.235137939
1718093277.236145,,,,-0.744554937,-0.746017218,70827.000000000,1718093277.236145020
1718093277.237152,,,,-0.741069078,-0.742795825,70828.000000000,1718093277.237152100
1718093277.238159,,,,-0.741069078,-0.739646494,70829.000000000,1718093277.238159180
1718093277.239166,,,,-0.745540619,-0.743060231,70830.000000000,1718093277.239166260
1718093277.240173,,,,-0.747151315,-0.746281683,70831.000000000,1718093277.240173340
1718093277.241180,,,,-0.752079606,-0.750464737,70832.000000000,1718093277.241180420
1718093277.242188,,,,-0.755301058,-0.753301501,70833.000000000,1718093277.242187500
1718093277.243195,,,,-0.757849336,-0.759239554,70834.000000000,1718093277.243194580
1718093277.244202,,,,-0.767802119,-0.768158555,70835.000000000,1718093277.244201660
1718093277.245209,,,,-0.774918139,-0.776019812,70836.000000000,1718093277.245208740
1718093277.246216,,,,-0.776288450,-0.778616190,70837.000000000,1718093277.246215820
1718093277.247223,,,,-0.782851517,-0.781477034,70838.000000000,1718093277.247222900
1718093277.248230,,,,-0.784967065,-0.783760905,70839.000000000,1718093277.248229980
1718093277.249237,,,,-0.784486294,-0.786621690,70840.000000000,1718093277.249237061
1718093277.250244,,,,-0.778524220,-0.779097021,70841.000000000,1718093277.250244141
1718093277.251251,,,,-0.770013869,-0.770899177,70842.000000000,1718093277.251251221
1718093277.252258,,,,-0.765542328,-0.763638973,70843.000000000,1718093277.252258301
1718093277.253265,,,,-0.759243727,-0.758109629,70844.000000000,1718093277.253265381
1718093277.254272,,,,-0.751118004,-0.751498461,70845.000000000,1718093277.254272461
1718093277.255280,,,,-0.744218349,-0.744887352,70846.000000000,1718093277.255279541
1718093277.256287,,,,-0.739770889,-0.742723703,70847.000000000,1718093277.256286621
1718093277.257294,,,,-0.738689065,-0.743444920,70848.000000000,1718093277.257293701
1718093277.258301,,,,-0.741429687,-0.744502664,70849.000000000,1718093277.258300781
1718093277.259308,,,,-0.744554937,-0.745416224,70850.000000000,1718093277.259307861
1718093277.260315,,,,-0.747824430,-0.749695420,70851.000000000,1718093277.260314941
1718093277.261322,,,,-0.755974174,-0.760946393,70852.000000000,1718093277.261322021
1718093277.262329,,,,-0.766936660,-0.768975973,70853.000000000,1718093277.262329102
1718093277.263336,,,,-0.772754490,-0.773447514,70854.000000000,1718093277.263336182
1718093277.264343,,,,-0.779149294,-0.781453013,70855.000000000,1718093277.264343262
1718093277.265350,,,,-0.790015578,-0.789290190,70856.000000000,1718093277.265350342
1718093277.266357,,,,-0.789366484,-0.786717892,70857.000000000,1718093277.266357422
1718093277.267365,,,,-0.778548241,-0.778904676,70858.000000000,1718093277.267364502
1718093277.268372,,,,-0.774317145,-0.774120629,70859.000000000,1718093277.268371582
1718093277.269379,,,,-0.771215916,-0.770418406,70860.000000000,1718093277.269378662
1718093277.270386,,,,-0.767225146,-0.768086433,70861.000000000,1718093277.270385742
1718093277.271393,,,,-0.766239524,-0.766067028,70862.000000000,1718093277.271392822
1718093277.272400,,,,-0.763835430,-0.763807237,70863.000000000,1718093277.272399902
1718093277.273407,,,,-0.765494227,-0.762677312,70864.000000000,1718093277.273406982
1718093277.274414,,,,-0.767994463,-0.766956568,70865.000000000,1718093277.274414063
1718093277.275421,,,,-0.761215031,-0.761114717,70866.000000000,1718093277.275421143
1718093277.276428,,,,-0.758762896,-0.757628798,70867.000000000,1718093277.276428223
1718093277.277435,,,,-0.757080078,-0.756066203,70868.000000000,1718093277.277435303
1718093277.278442,,,,-0.756527126,-0.754335284,70869.000000000,1718093277.278442383
1718093277.279449,,,,-0.755469322,-0.755994081,70870.000000000,1718093277.279449463
1718093277.280457,,,,-0.753065288,-0.754503548,70871.000000000,1718093277.280456543
1718093277.281464,,,,-0.755036592,-0.755417109,70872.000000000,1718093277.281463623
1718093277.282471,,,,-0.760974646,-0.762220562,70873.000000000,1718093277.282470703
1718093277.283478,,,,-0.759171605,-0.761595488,70874.000000000,1718093277.283477783
1718093277.284485,,,,-0.755445302,-0.760249257,70875.000000000,1718093277.284484863
1718093277.285492,,,,-0.758282065,-0.762244582,70876.000000000,1718093277.285491943
1718093277.285983,1.468382001,19371.000000000,1718093277.285983086,,,,
1718093277.286499,,,,-0.766984761,-0.766836345,70877.000000000,1718093277.286499023
1718093277.287506,,,,-0.772802591,-0.770682812,70878.000000000,1718093277.287506104
1718093277.288513,,,,-0.765542328,-0.767509460,70879.000000000,1718093277.288513184
1718093277.289520,,,,-0.760133207,-0.763470650,70880.000000000,1718093277.289520264
1718093277.290527,,,,-0.761166930,-0.762797534,70881.000000000,1718093277.290527344
1718093277.290983,1.539054155,19372.000000000,1718093277.290983200,,,,
1718093277.291534,,,,-0.764580727,-0.763326406,70882.000000000,1718093277.291534424
1718093277.292542,,,,-0.754627943,-0.754768014,70883.000000000,1718093277.292541504
1718093277.293549,,,,-0.747007072,-0.748805940,70884.000000000,1718093277.293548584
1718093277.294556,,,,-0.739602566,-0.743637204,70885.000000000,1718093277.294555664
1718093277.295563,,,,-0.731428802,-0.735102832,70886.000000000,1718093277.295562744
1718093277.295983,1.609715819,19373.000000000,1718093277.295983076,,,,
1718093277.296570,,,,-0.727293789,-0.730270684,70887.000000000,1718093277.296569824
1718093277.297577,,,,-0.723952174,-0.727337718,70888.000000000,1718093277.297576904
1718093277.298584,,,,-0.724913776,-0.726135731,70889.000000000,1718093277.298583984
1718093277.299591,,,,-0.736741722,-0.737795353,70890.000000000,1718093277.299591064
1718093277.300598,,,,-0.741117120,-0.742843866,70891.000000000,1718093277.300598145
1718093277.300983,1.698047757,19374.000000000,1718093277.300983191,,,,
1718093277.301605,,,,-0.743593335,-0.742363095,70892.000000000,1718093277.301605225
1718093277.302612,,,,-0.747704268,-0.748829961,70893.000000000,1718093277.302612305
1718093277.303619,,,,-0.753930748,-0.753541946,70894.000000000,1718093277.303619385
1718093277.304626,,,,-0.760037065,-0.762557149,70895.000000000,1718093277.304626465
1718093277.305634,,,,-0.772441983,-0.774817824,70896.000000000,1718093277.305633545
1718093277.305983,1.768712401,19375.000000000,1718093277.305983067,,,,
1718093277.306641,,,,-0.782683253,-0.784361899,70897.000000000,1718093277.306640625
1718093277.307648,,,,-0.790424287,-0.790588379,70898.000000000,1718093277.307647705
1718093277.308655,,,,-0.791914821,-0.789674878,70899.000000000,1718093277.308654785
1718093277.309662,,,,-0.780615747,-0.779024899,70900.000000000,1718093277.309661865
1718093277.310669,,,,-0.779557943,-0.778664291,70901.000000000,1718093277.310668945
1718093277.310983,1.874692798,19376.000000000,1718093277.310983181,,,,
1718093277.311676,,,,-0.773163199,-0.772533953,70902.000000000,1718093277.311676025
1718093277.312683,,,,-0.768499315,-0.767749906,70903.000000000,1718093277.312683105
1718093277.313690,,,,-0.762368977,-0.761427224,70904.000000000,1718093277.313690186
