__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1718091534.693274,,,,-3.754368067,-3.757269621,81030.000000000,1718091534.693274260
1718091534.694281,,,,-3.767133713,-3.769217730,81031.000000000,1718091534.694281340
1718091534.695288,,,,-3.779081821,-3.778617620,81032.000000000,1718091534.695288420
1718091534.696295,,,,-3.784442902,-3.784122944,81033.000000000,1718091534.696295500
1718091534.697303,,,,-3.785524607,-3.786286592,81034.000000000,1718091534.697302580
1718091534.698310,,,,-3.786245823,-3.785204649,81035.000000000,1718091534.698309660
1718091534.699317,,,,-3.783000469,-3.784603834,81036.000000000,1718091534.699316740
1718091534.700324,,,,-3.771220684,-3.773256540,81037.000000000,1718091534.700323820
1718091534.701331,,,,-3.753911495,-3.758038998,81038.000000000,1718091534.701330900
1718091534.702338,,,,-3.738886118,-3.740248919,81039.000000000,1718091534.702337980
1718091534.703345,,,,-3.730616093,-3.727435350,81040.000000000,1718091534.703345060
1718091534.703382,0.517776966,16346.000000000,1718091534.703382492,,,,
1718091534.704352,,,,-3.717874527,-3.716040134,81041.000000000,1718091534.704352140
1718091534.705359,,,,-3.705036879,-3.705270052,81042.000000000,1718091534.705359221
1718091534.706366,,,,-3.697800875,-3.698562622,81043.000000000,1718091534.706366301
1718091534.707373,,,,-3.701647282,-3.700918674,81044.000000000,1718091534.707373381
1718091534.708380,,,,-3.713859797,-3.714669704,81045.000000000,1718091534.708380461
1718091534.708382,0.500102878,16347.000000000,1718091534.708382368,,,,
1718091534.709388,,,,-3.725663662,-3.724454403,81046.000000000,1718091534.709387541
1718091534.710395,,,,-3.733164310,-3.733878136,81047.000000000,1718091534.710394621
1718091534.711402,,,,-3.747324228,-3.749600649,81048.000000000,1718091534.711401701
1718091534.712409,,,,-3.758286715,-3.759745836,81049.000000000,1718091534.712408781
1718091534.713382,0.588479877,16348.000000000,1718091534.713382483,,,,
1718091534.713416,,,,-3.754007578,-3.759361267,81050.000000000,1718091534.713415861
1718091534.714423,,,,-3.751964092,-3.753230810,81051.000000000,1718091534.714422941
1718091534.715430,,,,-3.755209684,-3.753711700,81052.000000000,1718091534.715430021
1718091534.716437,,,,-3.755450010,-3.758663893,81053.000000000,1718091534.716437101
1718091534.717444,,,,-3.748598337,-3.750826836,81054.000000000,1718091534.717444181
1718091534.718382,0.659172416,16349.000000000,1718091534.718382359,,,,
1718091534.718451,,,,-3.756315470,-3.756668568,81055.000000000,1718091534.718451262
1718091534.719458,,,,-3.762926579,-3.763808727,81056.000000000,1718091534.719458342
1718091534.720465,,,,-3.762974739,-3.762582541,81057.000000000,1718091534.720465422
1718091534.721473,,,,-3.769513607,-3.771429539,81058.000000000,1718091534.721472502
1718091534.722480,,,,-3.771148443,-3.775011539,81059.000000000,1718091534.722479582
1718091534.723382,0.659172416,16350.000000000,1718091534.723382473,,,,
1718091534.723487,,,,-3.761123657,-3.766212702,81060.000000000,1718091534.723486662
1718091534.724494,,,,-3.745569229,-3.749095917,81061.000000000,1718091534.724493742
1718091534.725501,,,,-3.729197741,-3.730464458,81062.000000000,1718091534.725500822
1718091534.726508,,,,-3.711960554,-3.712265730,81063.000000000,1718091534.726507902
1718091534.727515,,,,-3.694459200,-3.695653677,81064.000000000,1718091534.727514982
1718091534.728382,0.659172416,16351.000000000,1718091534.728382349,,,,
1718091534.728522,,,,-3.690708876,-3.691182137,81065.000000000,1718091534.728522062
1718091534.729529,,,,-3.689530849,-3.689691782,81066.000000000,1718091534.729529142
1718091534.730536,,,,-3.684314013,-3.685460567,81067.000000000,1718091534.730536222
1718091534.731543,,,,-3.687439203,-3.685700893,81068.000000000,1718091534.731543303
1718091534.732550,,,,-3.700974226,-3.700966597,81069.000000000,1718091534.732550383
1718091534.733382,0.623826444,16352.000000000,1718091534.733382463,,,,
1718091534.733557,,,,-3.721697092,-3.719766378,81070.000000000,1718091534.733557463
1718091534.734565,,,,-3.747925282,-3.748038054,81071.000000000,1718091534.734564543
1718091534.735572,,,,-3.774658442,-3.777463675,81072.000000000,1718091534.735571623
1718091534.736579,,,,-3.782591820,-3.785012484,81073.000000000,1718091534.736578703
1718091534.737586,,,,-3.783577442,-3.786286592,81074.000000000,1718091534.737585783
1718091534.738382,0.641499460,16353.000000000,1718091534.738382339,,,,
1718091534.738593,,,,-3.790837765,-3.789964676,81075.000000000,1718091534.738592863
1718091534.739600,,,,-3.789659739,-3.790685892,81076.000000000,1718091534.739599943
1718091534.740607,,,,-3.782760143,-3.783353567,81077.000000000,1718091534.740607023
1718091534.741614,,,,-3.770499468,-3.770395756,81078.000000000,1718091534.741614103
1718091534.742621,,,,-3.749199390,-3.751235485,81079.000000000,1718091534.742621183
1718091534.743382,0.676853299,16354.000000000,1718091534.743382454,,,,
1718091534.743628,,,,-3.730592012,-3.730945349,81080.000000000,1718091534.743628263
1718091534.744635,,,,-3.708065987,-3.706904650,81081.000000000,1718091534.744635344
1718091534.745642,,,,-3.686237335,-3.686013460,81082.000000000,1718091534.745642424
1718091534.746650,,,,-3.669432878,-3.670122623,81083.000000000,1718091534.746649504
1718091534.747657,,,,-3.659408092,-3.660674810,81084.000000000,1718091534.747656584
1718091534.748382,0.747542918,16355.000000000,1718091534.748382330,,,,
1718091534.748664,,,,-3.655826092,-3.657309055,81085.000000000,1718091534.748663664
1718091534.749671,,,,-3.662653446,-3.661804676,81086.000000000,1718091534.749670744
1718091534.750678,,,,-3.679337740,-3.677046299,81087.000000000,1718091534.750677824
1718091534.751685,,,,-3.706960201,-3.709621191,81088.000000000,1718091534.751684904
1718091534.752692,,,,-3.735087633,-3.738590240,81089.000000000,1718091534.752691984
1718091534.753382,0.853581190,16356.000000000,1718091534.753382444,,,,
1718091534.753699,,,,-3.744727850,-3.746643782,81090.000000000,1718091534.753699064
1718091534.754706,,,,-3.742275715,-3.743638754,81091.000000000,1718091534.754706144
1718091534.755713,,,,-3.733044147,-3.736666918,81092.000000000,1718091534.755713224
1718091534.756720,,,,-3.733212471,-3.736594677,81093.000000000,1718091534.756720304
1718091534.757727,,,,-3.744102955,-3.744431973,81094.000000000,1718091534.757727385
1718091534.758382,0.941935778,16357.000000000,1718091534.758382320,,,,
1718091534.758734,,,,-3.749920607,-3.754168510,81095.000000000,1718091534.758734465
1718091534.759742,,,,-3.736842632,-3.739912271,81096.000000000,1718091534.759741545
1718091534.760749,,,,-3.723596334,-3.726016998,81097.000000000,1718091534.760748625
1718091534.761756,,,,-3.686453581,-3.682912350,81098.000000000,1718091534.761755705
1718091534.762763,,,,-3.659648418,-3.660193920,81099.000000000,1718091534.762762785
1718091534.763382,1.030294776,16358.000000000,1718091534.763382435,,,,
1718091534.763770,,,,-3.634285688,-3.638052702,81100.000000000,1718091534.763769865
1718091534.764777,,,,-3.622601986,-3.624205351,81101.000000000,1718091534.764776945
1718091534.765784,,,,-3.612072229,-3.613627434,81102.000000000,1718091534.765784025
1718091534.766791,,,,-3.588536501,-3.588024139,81103.000000000,1718091534.766791105
1718091534.767798,,,,-3.552547932,-3.549631596,81104.000000000,1718091534.767798185
1718091534.768382,1.136319399,16359.000000000,1718091534.768382311,,,,
1718091534.768805,,,,-3.515332937,-3.513762951,81105.000000000,1718091534.768805265
1718091534.769812,,,,-3.519299746,-3.519869328,81106.000000000,1718091534.769812346
1718091534.770819,,,,-3.521198988,-3.520830870,81107.000000000,1718091534.770819426
1718091534.771827,,,,-3.542739391,-3.543236732,81108.000000000,1718091534.771826506
1718091534.772834,,,,-3.592406988,-3.593457460,81109.000000000,1718091534.772833586
1718091534.773382,1.330677509,16360.000000000,1718091534.773382425,,,,
1718091534.773611,1.507360458,16361.000000000,1718091534.773611307,,,,
1718091534.773841,,,,-3.602864742,-3.602689028,81110.000000000,1718091534.773840666
1718091534.774848,,,,-3.610894203,-3.612713814,81111.000000000,1718091534.774847746
1718091534.775855,,,,-3.632795095,-3.635360003,81112.000000000,1718091534.775854826
1718091534.776862,,,,-3.663230419,-3.662309408,81113.000000000,1718091534.776861906
1718091534.777869,,,,-3.693353176,-3.692961216,81114.000000000,1718091534.777868986
1718091534.778611,1.790013671,16362.000000000,1718091534.778611422,,,,
1718091534.778876,,,,-3.748141766,-3.751187325,81115.000000000,1718091534.778876066
1718091534.779883,,,,-3.809036255,-3.809678078,81116.000000000,1718091534.779883146
1718091534.780890,,,,-3.843198061,-3.844128132,81117.000000000,1718091534.780890226
1718091534.781897,,,,-3.853030443,-3.854681969,81118.000000000,1718091534.781897306
1718091534.782904,,,,-3.849496603,-3.850498915,81119.000000000,1718091534.782904387
1718091534.783611,2.196264505,16363.000000000,1718091534.783611298,,,,
1718091534.783911,,,,-3.832596064,-3.833405972,81120.000000000,1718091534.783911467
1718091534.784919,,,,-3.794155359,-3.796215296,81121.000000000,1718091534.784918547
1718091534.785926,,,,-3.792111874,-3.792849541,81122.000000000,1718091534.785925627
1718091534.786933,,,,-3.789130688,-3.788281918,81123.000000000,1718091534.786932707
1718091534.787940,,,,-3.746290445,-3.746667862,81124.000000000,1718091534.787939787
1718091534.788611,2.655409813,16364.000000000,1718091534.788611412,,,,
1718091534.788947,,,,-3.719653606,-3.719862461,81125.000000000,1718091534.788946867
1718091534.789954,,,,-3.711888552,-3.711905241,81126.000000000,1718091534.789953947
1718091534.790961,,,,-3.709316254,-3.707794189,81127.000000000,1718091534.790961027
1718091534.791968,,,,-3.701719284,-3.701231241,81128.000000000,1718091534.791968107
1718091534.792975,,,,-3.717249632,-3.719285488,81129.000000000,1718091534.792975187
1718091534.793611,3.326298714,16365.000000000,1718091534.793611288,,,,
1718091534.793982,,,,-3.761532307,-3.764938593,81130.000000000,1718091534.793982267
1718091534.794989,,,,-3.799324036,-3.801528215,81131.000000000,1718091534.794989347
1718091534.795996,,,,-3.807353497,-3.806985378,81132.000000000,1718091534.795996428
1718091534.797004,,,,-3.786462307,-3.786262512,81133.000000000,1718091534.797003508
1718091534.798011,,,,-3.768624306,-3.768111944,81134.000000000,1718091534.798010588
1718091534.798611,4.261666298,16366.000000000,1718091534.798611403,,,,
1718091534.799018,,,,-3.736650229,-3.738878727,81135.000000000,1718091534.799017668
1718091534.800025,,,,-3.692319632,-3.695196867,81136.000000000,1718091534.800024748
1718091534.801032,,,,-3.684890985,-3.686446190,81137.000000000,1718091534.801031828
1718091534.802039,,,,-3.681236744,-3.682094812,81138.000000000,1718091534.802038908
1718091534.803046,,,,-3.711888552,-3.713179350,81139.000000000,1718091534.803045988
1718091534.803611,5.425892830,16367.000000000,1718091534.803611279,,,,
1718091534.804053,,,,-3.752757549,-3.752437592,81140.000000000,1718091534.804053068
1718091534.805060,,,,-3.778504848,-3.780829430,81141.000000000,1718091534.805060148
1718091534.806067,,,,-3.793506145,-3.794532537,81142.000000000,1718091534.806067228
1718091534.807074,,,,-3.766580820,-3.767967701,81143.000000000,1718091534.807074308
1718091534.808081,,,,-3.755450010,-3.757365704,81144.000000000,1718091534.808081388
1718091534.808611,6.941979885,16368.000000000,1718091534.808611393,,,,
1718091534.809088,,,,-3.770859957,-3.772920132,81145.000000000,1718091534.809088469
1718091534.810096,,,,-3.770547390,-3.772102594,81146.000000000,1718091534.810095549
1718091534.811103,,,,-3.768503904,-3.771141052,81147.000000000,1718091534.811102629
1718091534.812110,,,,-3.727154255,-3.730272055,81148.000000000,1718091534.812109709
1718091534.813117,,,,-3.658638716,-3.664449215,81149.000000000,1718091534.813116789
1718091534.813611,8.545053482,16369.000000000,1718091534.813611269,,,,
1718091534.814124,,,,-3.634838581,-3.637018919,81150.000000000,1718091534.814123869
1718091534.815131,,,,-3.629741907,-3.629975080,81151.000000000,1718091534.815130949
1718091534.816138,,,,-3.644190311,-3.642956972,81152.000000000,1718091534.816138029
1718091534.817145,,,,-3.680683851,-3.681638002,81153.000000000,1718091534.817145109
1718091534.818152,,,,-3.714196444,-3.717242241,81154.000000000,1718091534.818152189
1718091534.819159,,,,-3.745737553,-3.747340918,81155.000000000,1718091534.819159269
1718091534.820166,,,,-3.732491255,-3.733661890,81156.000000000,1718091534.820166349
1718091534.821173,,,,-3.704676390,-3.705678701,81157.000000000,1718091534.821173429
1718091534.822181,,,,-3.732034445,-3.734190702,81158.000000000,1718091534.822180510
1718091534.823188,,,,-3.768239498,-3.769049406,81159.000000000,1718091534.823187590
1718091534.823611,12.872652054,16371.000000000,1718091534.823611259,,,,
