__time,/gdx/grip_force_stream/grip_force,/gdx/grip_force_stream/header/seq,/gdx/grip_force_stream/header/stamp,/shimmer0/emg_stream/emg_ch1,/shimmer0/emg_stream/emg_ch2,/shimmer0/emg_stream/header/seq,/shimmer0/emg_stream/header/stamp
1718095760.635059,,,,-0.646337330,-0.645429671,86256.000000000,1718095760.635058641
1718095760.636066,,,,-0.638644338,-0.638193429,86257.000000000,1718095760.636065722
1718095760.637073,,,,-0.636408567,-0.631630361,86258.000000000,1718095760.637072802
1718095760.638080,,,,-0.630061865,-0.629995584,86259.000000000,1718095760.638079882
1718095760.639087,,,,-0.626119196,-0.626629949,86260.000000000,1718095760.639086962
1718095760.640094,,,,-0.624003649,-0.622687280,86261.000000000,1718095760.640094042
1718095760.641101,,,,-0.623474777,-0.625259638,86262.000000000,1718095760.641101122
1718095760.642108,,,,-0.623715162,-0.624514341,86263.000000000,1718095760.642108202
1718095760.643115,,,,-0.622777581,-0.623408496,86264.000000000,1718095760.643115282
1718095760.644122,,,,-0.626047075,-0.623961449,86265.000000000,1718095760.644122362
1718095760.645129,,,,-0.635446966,-0.633962333,86266.000000000,1718095760.645129442
1718095760.646137,,,,-0.642731249,-0.645790279,86267.000000000,1718095760.646136522
1718095760.647144,,,,-0.639053047,-0.643698752,86268.000000000,1718095760.647143602
1718095760.648151,,,,-0.637322128,-0.640741765,86269.000000000,1718095760.648150682
1718095760.649158,,,,-0.643861115,-0.644972861,86270.000000000,1718095760.649157763
1718095760.650165,,,,-0.643428385,-0.643626630,86271.000000000,1718095760.650164843
1718095760.651172,,,,-0.640231013,-0.641030252,86272.000000000,1718095760.651171923
1718095760.652179,,,,-0.635951817,-0.634034455,86273.000000000,1718095760.652179003
1718095760.653186,,,,-0.640807986,-0.639491618,86274.000000000,1718095760.653186083
1718095760.654193,,,,-0.648861587,-0.650718570,86275.000000000,1718095760.654193163
1718095760.655200,,,,-0.643981338,-0.646247029,86276.000000000,1718095760.655200243
1718095760.656207,,,,-0.626672149,-0.627759814,86277.000000000,1718095760.656207323
1718095760.657214,,,,-0.610348642,-0.611484408,86278.000000000,1718095760.657214403
1718095760.658221,,,,-0.607800305,-0.610162139,86279.000000000,1718095760.658221483
1718095760.659229,,,,-0.606405973,-0.607373476,86280.000000000,1718095760.659228563
1718095760.660236,,,,-0.603881717,-0.603935659,86281.000000000,1718095760.660235643
1718095760.661243,,,,-0.610997736,-0.611965179,86282.000000000,1718095760.661242723
1718095760.662250,,,,-0.623835385,-0.623793125,86283.000000000,1718095760.662249804
1718095760.663257,,,,-0.624147892,-0.622879624,86284.000000000,1718095760.663256884
1718095760.663769,0.369868755,17431.000000000,1718095760.663768768,,,,
1718095760.664264,,,,-0.623835385,-0.624081612,86285.000000000,1718095760.664263964
1718095760.665271,,,,-0.631239831,-0.631486118,86286.000000000,1718095760.665271044
