measure_time,emg_ch_1,grip_force_inter
1673611545.24097,10.927339,-0.221104
1673611545.241977,10.913178,-0.29309270791607056
1673611545.242984,10.901062,-0.238938529089175
1673611545.243991,10.884883,-0.2218630865315852
1673611545.244999,10.858318,-0.25729
1673611545.246006,10.82995,-0.2573196012332768
1673611545.2470129,10.827354,-0.2581474555917399
1673611545.24802,10.835648,-0.2589755059848604
1673611545.249027,10.845096,-0.2598035563779809
1673611545.2500339,10.858438,-0.260631410736444
1673611545.251041,10.868391,-0.26145946112956453
1673611545.252048,10.880243,-0.26228751152268504
1673611545.2530549,10.861611,-0.2631153658811481
1673611545.254062,10.843245,-0.26394341627426865
1673611545.255069,10.87469,-0.26477146666738915
1673611545.2560759,10.891278,-0.2655993210258522
1673611545.257083,10.883321,-0.26642737141897277
1673611545.258091,10.881638,-0.26725620595072314
1673611545.259098,10.885099,-0.26808425634384364
1673611545.260105,10.886806,-0.2689121107023067
1673611545.261112,10.882431,-0.26974016109542726
1673611545.262119,10.880219,-0.27056821148854776
1673611545.263126,10.878368,-0.2713960658470108
1673611545.264133,10.875579,-0.2722241162401314
1673611545.26514,10.877551,-0.2730521666332519
1673611545.266147,10.872959,-0.27388002099171493
1673611545.267154,10.864328,-0.2747080713848355
1673611545.268161,10.860963,-0.275536121777956
1673611545.269168,10.860843,-0.27636397613641905
1673611545.270176,10.855073,-0.2771928106681694
1673611545.271183,10.857332,-0.27802086106129
1673611545.2721899,10.870122,-0.27884871541975303
1673611545.273197,10.881253,-0.27967676581287354
1673611545.274204,10.888874,-0.2805048162059941
1673611545.2752109,10.891037,-0.28133267056445715
1673611545.276218,10.892336,-0.28216072095757766
1673611545.277225,10.89046,-0.2829887713506982
1673611545.2782319,10.889691,-0.2838166257091613
1673611545.279239,10.890869,-0.2846446761022818
1673611545.280246,10.890797,-0.28547272649540234
1673611545.2812529,10.892263,-0.2863005808538654
1673611545.28226,10.88421,-0.2871286312469859
1673611545.283268,10.863102,-0.28795746577873627
1673611545.284275,10.853102,-0.2887855161718568
1673611545.285282,10.869425,-0.2896133705303199
1673611545.286289,10.892216,-0.2904414209234404
1673611545.287296,10.877094,-0.2912694713165609
1673611545.288303,10.852813,-0.292097325675024
1673611545.28931,10.866709,-0.2929253760681445
1673611545.290317,10.891614,-0.2809113449344458
1673611545.291324,10.887431,-0.2764917711015737
1673611545.292331,10.874762,-0.29849703528850735
1673611545.293338,10.885773,-0.275379
1673611545.294345,10.902024,-0.2889392804005722
1673611545.295353,10.922482,-0.29077664663805436
1673611545.29636,10.934599,-0.26434617644253694
1673611545.2973669,10.926641,-0.275379
1673611545.298374,10.898923,-0.2972980028612303
1673611545.299381,10.890942,-0.3257131623683713
1673611545.3003879,10.904307,-0.3160795351535406
1673611545.301395,10.914044,-0.3064436267103853
1673611545.302402,10.907361,-0.29680771826722996
1673611545.3034089,10.881805,-0.26966850023843586
1673611545.304416,10.890485,-0.3054065674773486
1673611545.305423,10.908154,-0.2931790934445769
1673611545.3064299,10.889547,-0.26309970028612306
1673611545.307437,10.860626,-0.25729
1673611545.308445,10.851467,-0.25729
1673611545.309452,10.866468,-0.25729
1673611545.310459,10.885172,-0.25729
1673611545.311466,10.899837,-0.25729
1673611545.312473,10.895989,-0.25729
1673611545.31348,10.885099,-0.25729
1673611545.314487,10.884378,-0.25729
1673611545.315494,10.892191,-0.25729
1673611545.316501,10.899524,-0.25729
1673611545.317508,10.898923,-0.25729
1673611545.318515,10.904043,-0.25729
1673611545.319522,10.909212,-0.25729
1673611545.32053,10.906303,-0.25729
1673611545.321537,10.888825,-0.25729
1673611545.3225439,10.885964,-0.25729
1673611545.323551,10.895196,-0.25729
1673611545.324558,10.89349,-0.25729
1673611545.3255649,10.882768,-0.25729
1673611545.326572,10.882719,-0.25729
1673611545.327579,10.880051,-0.25729
1673611545.3285859,10.875195,-0.25729
1673611545.329593,10.8713,-0.25729
1673611545.3306,10.868175,-0.25729
1673611545.3316069,10.865073,-0.25729
1673611545.332614,10.865314,-0.25729
1673611545.333622,10.865939,-0.25729
1673611545.334629,10.882815,-0.25729
1673611545.335636,10.887383,-0.25729
1673611545.336643,10.886446,-0.25729
1673611545.33765,10.886927,-0.25729
1673611545.338657,10.886013,-0.25729
1673611545.339664,10.891302,-0.25729
1673611545.340671,10.902529,-0.25729
1673611545.341678,10.920078,-0.25729
1673611545.342685,10.946908,-0.25729
1673611545.343692,10.945658,-0.25729
1673611545.344699,10.879017,-0.25729
1673611545.345707,10.832811,-0.25729
1673611545.346714,10.8544,-0.25729
1673611545.3477209,10.878849,-0.25729
1673611545.348728,10.86517,-0.25729
1673611545.349735,10.835744,-0.25729
1673611545.3507419,10.83774,-0.25729
1673611545.351749,10.851683,-0.25729
1673611545.352756,10.868584,-0.25729
1673611545.3537629,10.878873,-0.2577212038140644
1673611545.35477,10.878729,-0.293468
1673611545.355777,10.88647,-0.29299787577491654
1673611545.3567839,10.894619,-0.275379
1673611545.357791,10.902048,-0.2746545775923719
1673611545.358799,10.905847,-0.2564226902718169
1673611545.359806,10.908539,-0.24218239556509297
1673611545.360813,10.902288,-0.2923468700834327
1673611545.36182,10.875291,-0.27413252384358605
1673611545.362827,10.844855,-0.25704549586486236
1673611545.363834,10.846058,-0.25380869033919995
1673611545.364841,10.864064,-0.25057111834289447
1673611545.365848,10.880027,-0.24733354634658894
1673611545.366855,10.873079,-0.24409674082092653
1673611545.367862,10.865026,-0.24085916882462102
1673611545.368869,10.857838,-0.23762159682831555
1673611545.369876,10.858775,-0.2343847913026531
1673611545.370884,10.874137,-0.23114415342377537
1673611545.371891,10.895773,-0.22790658142746986
1673611545.3728979,10.925776,-0.22466977590180745
1673611545.373905,10.955514,-0.22143220390550195
1673611545.374912,10.962294,-0.21819463190919647
1673611545.3759189,10.955971,-0.21495782638353403
1673611545.376926,10.964145,-0.21172025438722852
1673611545.377933,10.952245,-0.20848268239092305
1673611545.3789399,10.928276,-0.20524587686526063
1673611545.379947,10.907625,-0.20200830486895513
1673611545.380954,10.903298,-0.19877073287264962
1673611545.3819609,10.896495,-0.1955339273469872
1673611545.382968,10.868631,-0.19229635535068174
1673611545.383976,10.844471,-0.18905571747180397
1673611545.384983,10.826801,-0.18581814547549846
1673611545.38599,10.820142,-0.18258133994983605
1673611545.386997,10.812208,-0.17934376795353058
1673611545.388004,10.8118,-0.17610619595722504
1673611545.389011,10.811872,-0.17286939043156263
1673611545.390018,10.817546,-0.16963181843525715
1673611545.391025,10.823363,-0.16639424643895168
1673611545.392032,10.825912,-0.16315744091328924
1673611545.393039,10.831417,-0.15991986891698373
1673611545.394046,10.850986,-0.15668229692067825
1673611545.395053,10.862621,-0.15344549139501582
1673611545.396061,10.8663,-0.15020485351613805
1673611545.397068,10.893033,-0.14696728151983257
1673611545.3980749,10.906087,-0.14373047599417013
1673611545.399082,10.897961,-0.14049290399786465
1673611545.400089,10.876517,-0.13725533200155915
1673611545.4010959,10.866516,-0.13401852647589674
1673611545.402103,10.870266,-0.13078095447959123
