measure_time,emg_ch_1,grip_force_inter
1673606320.515738,-0.506392,-0.492456
1673606320.5167449,-0.506392,-0.49217133762517884
1673606320.517752,-0.507425,-0.45654965840286055
1673606320.51876,-0.5087,-0.4735388912732475
1673606320.519767,-0.510647,-0.43927589270386264
1673606320.520774,-0.510599,-0.47369863408820023
1673606320.521781,-0.507281,-0.45786369604573607
1673606320.522788,-0.506392,-0.4897361742243437
1673606320.523795,-0.507954,-0.43796728279924346
1673606320.524802,-0.508315,-0.4341132356552283
1673606320.525809,-0.509156,-0.4302591885112132
1673606320.526816,-0.5112,-0.4264060537836621
1673606320.527823,-0.516224,-0.4225520066396469
1673606320.52883,-0.51834,-0.4186979594956318
1673606320.529837,-0.515647,-0.4148448247680807
1673606320.530845,-0.513772,-0.41098712795820946
1673606320.531852,-0.518172,-0.40713308081419436
1673606320.5328588,-0.525792,-0.40327994608664325
1673606320.533866,-0.530961,-0.39942589894262814
1673606320.534873,-0.527403,-0.395571851798613
1673606320.5358799,-0.516873,-0.3917187170710619
1673606320.536887,-0.510118,-0.3878646699270467
1673606320.537894,-0.504252,-0.3840106227830316
1673606320.5389009,-0.504661,-0.3801574880554805
1673606320.539908,-0.508844,-0.3763034409114654
1673606320.540915,-0.513724,-0.37244939376745023
1673606320.5419219,-0.519229,-0.3685962590398991
1673606320.542929,-0.521585,-0.36474221189588396
1673606320.543937,-0.51935,-0.36088451508601277
1673606320.544944,-0.521802,-0.35703046794199766
1673606320.545951,-0.525552,-0.35317733321444655
1673606320.546958,-0.5281,-0.3493232860704314
1673606320.547965,-0.528725,-0.3454692389264163
1673606320.548972,-0.531033,-0.3416161041988652
1673606320.549979,-0.532716,-0.33776205705485
1673606320.550986,-0.531875,-0.3339080099108349
1673606320.551993,-0.526153,-0.3300548751832838
1673606320.553,-0.524614,-0.32620082803926864
1673606320.554007,-0.52584,-0.32234678089525354
1673606320.555014,-0.526778,-0.3184936461677024
1673606320.556022,-0.5306,-0.31463594935783123
1673606320.557029,-0.52774,-0.3107819022138161
1673606320.5580359,-0.526177,-0.30692876748626496
1673606320.559043,-0.525119,-0.3030747203422498
1673606320.56005,-0.527283,-0.29922067319823475
1673606320.5610569,-0.522066,-0.2953675384706836
1673606320.562064,-0.514325,-0.2915134913266685
1673606320.563071,-0.515767,-0.2876594441826533
1673606320.5640779,-0.520936,-0.2838063094551022
1673606320.565085,-0.527043,-0.27995226231108705
1673606320.566092,-0.529038,-0.276098215167072
1673606320.5670989,-0.525288,-0.27224508043952084
1673606320.568106,-0.53137,-0.26839103329550573
1673606320.569114,-0.54952,-0.2645333364856345
1673606320.570121,-0.570123,-0.26067928934161944
1673606320.571128,-0.579812,-0.25682615461406827
1673606320.572135,-0.565411,-0.25297210747005316
1673606320.573142,-0.536563,-0.249118060326038
1673606320.574149,-0.532139,-0.24526492559848692
1673606320.575156,-0.533245,-0.24141087845447176
1673606320.576163,-0.533173,-0.23755683131045666
1673606320.57717,-0.540265,-0.23370369658290552
1673606320.578177,-0.548366,-0.2298496494388904
1673606320.579184,-0.550626,-0.22599560229487525
1673606320.580191,-0.549472,-0.22214246756732417
1673606320.581199,-0.547958,-0.21828477075745295
1673606320.582206,-0.547669,-0.21443072361343782
1673606320.5832129,-0.543751,-0.2105775888858867
1673606320.58422,-0.542068,-0.20672354174187157
1673606320.585227,-0.544977,-0.20286949459785644
1673606320.5862339,-0.546299,-0.19901635987030533
1673606320.587241,-0.547741,-0.1951623127262902
1673606320.588248,-0.550867,-0.19130826558227507
1673606320.5892549,-0.555074,-0.18745513085472398
1673606320.590262,-0.56106,-0.20367776684924982
1673606320.591269,-0.559113,-0.239193
1673606320.5922759,-0.556684,-0.21970055608591885
1673606320.593283,-0.555819,-0.17164938197424892
1673606320.594291,-0.547693,-0.148747
1673606320.595298,-0.54464,-0.15563927992370052
1673606320.596305,-0.541371,-0.166836
1673606320.597312,-0.53714,-0.15968052750654918
1673606320.598319,-0.545578,-0.148747
1673606320.599326,-0.558223,-0.1465974550929479
1673606320.600333,-0.57445,-0.14130318238893153
1673606320.60134,-0.568152,-0.13600890968491514
1673606320.602347,-0.545674,-0.13071589035985332
1673606320.603354,-0.540169,-0.12542161765583695
1673606320.604361,-0.547188,-0.12012734495182058
1673606320.605368,-0.552501,-0.11483432562675874
1673606320.606376,-0.557766,-0.10953503940692419
1673606320.607383,-0.553367,-0.10424076670290781
1673606320.6083899,-0.553824,-0.09894774737784598
1673606320.609397,-0.557165,-0.09365347467382962
1673606320.610404,-0.558391,-0.08835920196981324
1673606320.6114109,-0.557213,-0.08306618264475141
1673606320.612418,-0.557814,-0.07777190994073505
1673606320.613425,-0.559257,-0.07247763723671868
1673606320.6144319,-0.555266,-0.06718461791165685
1673606320.615439,-0.550915,-0.06189034520764049
1673606320.616446,-0.549256,-0.05659607250362411
1673606320.6174529,-0.548487,-0.05130305317856229
1673606320.61846,-0.546587,-0.046008780474545916
1673606320.619468,-0.551444,-0.04070949425471135
1673606320.620475,-0.553078,-0.03541522155069497
1673606320.621482,-0.557165,-0.030122202225633138
1673606320.622489,-0.563488,-0.024827929521616776
1673606320.623496,-0.564113,-0.019533656817600414
1673606320.624503,-0.563175,-0.014240637492538566
1673606320.62551,-0.560531,-0.008946364788522204
1673606320.626517,-0.559521,-0.0036520920845058424
1673606320.627524,-0.557237,0.0016409272405559783
1673606320.628531,-0.557646,0.006935199944572368
1673606320.629538,-0.563103,0.01222947264858873
1673606320.630545,-0.567863,0.01752249197365055
1673606320.631553,-0.570123,0.02282177819348513
1673606320.63256,-0.564233,0.028116050897501493
1673606320.6335669,-0.557021,0.03340907022256334
1673606320.634574,-0.550963,0.038703342926579704
1673606320.635581,-0.561565,0.043997615630596065
1673606320.6365879,-0.568152,0.049290634955657886
1673606320.637595,-0.567815,0.054584907659674275
1673606320.638602,-0.57998,0.05987918036369064
1673606320.6396089,-0.587312,0.06517219968875246
1673606320.640616,-0.586519,0.07046647239276882
1673606320.641623,-0.581615,0.07576074509678521
1673606320.6426299,-0.580388,0.08105376442184703
1673606320.643637,-0.570267,0.08634803712586339
1673606320.644645,-0.547381,0.06846307892226991
1673606320.645652,-0.548246,0.03216
1673606320.646659,-0.560627,0.08630192107773009
1673606320.647666,-0.566806,0.068338
1673606320.648673,-0.569426,0.06909709966618979
1673606320.64968,-0.568416,0.10401137124463519
1673606320.650687,-0.565051,0.086427
1673606320.651694,-0.564137,0.08946339866475918
1673606320.652701,-0.560074,0.15900735705581387
